,epoch,n_pre_layers,loss_critic,pred_fake,pred_real,loss_gen,norm_gen
0,20.0,3.0,1.2584081888198853,-0.24983608722686768,-1.3291747570037842,-3.099022388458252,17.273717880249023
0,40.0,3.0,2.89133358001709,-0.21513471007347107,0.3903113007545471,-3.032830238342285,16.738235473632812
0,60.0,3.0,0.02488088607788086,0.6419439315795898,-0.6528440713882446,-2.1469249725341797,16.26261329650879
0,80.0,3.0,0.46889472007751465,-0.14483371376991272,-0.8028415441513062,-2.9667813777923584,16.809555053710938
0,100.0,3.0,1.2883576154708862,-0.11826078593730927,0.1919301450252533,-2.874606132507324,15.742202758789062
0,120.0,3.0,1.2170922756195068,-0.08490733802318573,-0.8634614944458008,-2.9778027534484863,18.045482635498047
0,140.0,3.0,-0.037719130516052246,-0.1360333412885666,-1.5660172700881958,-2.9389142990112305,16.492090225219727
0,160.0,3.0,0.7881131172180176,0.33952435851097107,0.16820569336414337,-2.5439796447753906,17.87680435180664
0,180.0,3.0,0.282559871673584,0.8140491247177124,-0.12371816486120224,-2.0592780113220215,17.695796966552734
0,200.0,3.0,0.7703292965888977,-0.04193837568163872,-0.6403025388717651,-2.9136030673980713,17.666404724121094
0,220.0,3.0,-1.0733897686004639,1.2244148254394531,-1.5534179210662842,-1.59175443649292,16.71270751953125
0,240.0,3.0,-0.5821729898452759,1.3472309112548828,-0.18885967135429382,-1.475327491760254,16.819828033447266
0,260.0,3.0,0.9149045944213867,-0.40845948457717896,-1.421907663345337,-3.2138166427612305,16.53297996520996
0,280.0,3.0,0.9364953637123108,0.7604732513427734,0.7056704759597778,-2.0476648807525635,16.579021453857422
0,300.0,3.0,-0.36136728525161743,1.0288207530975342,-0.26320314407348633,-1.8263211250305176,17.376903533935547
0,320.0,3.0,2.5309548377990723,-1.261573314666748,-0.08973722159862518,-4.07087516784668,16.59832763671875
0,340.0,3.0,-1.4850585460662842,0.7527866363525391,-1.7527875900268555,-2.0470237731933594,16.441530227661133
0,360.0,3.0,0.24796485900878906,-1.054717779159546,-1.7566397190093994,-3.895188331604004,17.12381935119629
0,380.0,3.0,3.1477341651916504,-1.1492819786071777,0.4214871823787689,-4.0912675857543945,18.953441619873047
0,400.0,3.0,-0.4217209815979004,-0.2739110291004181,-1.7023626565933228,-3.1285789012908936,17.368669509887695
0,420.0,3.0,1.4014060497283936,0.6006597876548767,-1.0873701572418213,-2.209242582321167,16.60829734802246
0,440.0,3.0,0.3321940302848816,-0.8169309496879578,-1.4997695684432983,-3.6033973693847656,16.223588943481445
0,460.0,3.0,0.5251169204711914,0.8710691332817078,-0.7750439643859863,-1.9026708602905273,16.018430709838867
0,480.0,3.0,0.17178523540496826,-0.6698811054229736,-1.5599886178970337,-3.5218703746795654,17.322206497192383
0,500.0,3.0,0.5905560255050659,-0.7327032089233398,-0.9666725397109985,-3.519683837890625,16.23193359375
0,520.0,3.0,-0.7913247346878052,1.060718297958374,-0.8895432353019714,-1.7404534816741943,16.463926315307617
0,540.0,3.0,1.0866129398345947,-0.7198907732963562,-0.7985661029815674,-3.567920446395874,17.253753662109375
0,560.0,3.0,1.4365055561065674,-0.4286448359489441,-1.015208125114441,-3.2243990898132324,16.37497329711914
0,580.0,3.0,5.337423801422119,-3.2928757667541504,0.42469748854637146,-6.184566020965576,18.02375030517578
0,600.0,3.0,1.2646636962890625,-0.08759842813014984,-0.7600813508033752,-2.834785223007202,15.598689079284668
0,620.0,3.0,1.168770432472229,0.7108995318412781,0.08698613941669464,-2.2188711166381836,18.72333526611328
0,640.0,3.0,2.247913360595703,-0.9628146290779114,-1.4628874063491821,-3.7507147789001465,16.246868133544922
0,660.0,3.0,2.147233009338379,-0.06760940700769424,0.2722448408603668,-2.900994062423706,17.002914428710938
0,680.0,3.0,0.6919523477554321,-1.1247014999389648,-1.7844130992889404,-3.9536023139953613,16.92684555053711
0,700.0,3.0,2.0526819229125977,-0.08666232973337173,0.4254884719848633,-2.92909836769104,17.157512664794922
0,720.0,3.0,-0.03789401054382324,-0.07979822158813477,-1.8777129650115967,-3.0312702655792236,19.13409996032715
0,740.0,3.0,0.478302001953125,0.8467327952384949,-0.3042372167110443,-2.0310468673706055,17.774763107299805
0,760.0,3.0,1.7776029109954834,-1.3676261901855469,-1.2344316244125366,-4.206006050109863,17.08806037902832
0,780.0,3.0,1.0912127494812012,-1.665191888809204,-1.6887142658233643,-4.469588279724121,16.517108917236328
0,800.0,3.0,-1.1155459880828857,1.2363227605819702,-0.8757097125053406,-1.569891095161438,16.547151565551758
0,820.0,3.0,1.8611931800842285,-1.6828867197036743,-1.6980392932891846,-4.512164115905762,16.933218002319336
0,840.0,3.0,2.289104461669922,-0.027596961706876755,-0.7767879366874695,-2.9054789543151855,17.77658462524414
0,860.0,3.0,3.038245677947998,-1.2045068740844727,0.09351801872253418,-4.036611080169678,16.98115348815918
0,880.0,3.0,3.954704761505127,-0.2897166609764099,1.040202021598816,-3.082824945449829,16.331703186035156
0,900.0,3.0,0.3797111511230469,-0.07256940752267838,-1.3938758373260498,-2.9100680351257324,17.073007583618164
0,920.0,3.0,-1.9446046352386475,1.3662831783294678,-1.8340938091278076,-1.4386320114135742,16.52567481994629
0,940.0,3.0,0.4533553123474121,-0.8940678834915161,-1.8389850854873657,-3.817556858062744,18.606090545654297
0,960.0,3.0,2.193927764892578,-0.8666971921920776,0.21163983643054962,-3.625664234161377,15.783534049987793
0,980.0,3.0,1.9673855304718018,-0.23096676170825958,-0.4429005980491638,-2.995493173599243,15.871521949768066
0,1000.0,3.0,-0.43491697311401367,0.17810186743736267,-1.4637720584869385,-2.615114212036133,16.333465576171875
0,1020.0,3.0,1.1343142986297607,-1.1277825832366943,-0.9108794331550598,-3.934697389602661,16.558752059936523
0,1040.0,3.0,-0.31124353408813477,1.1100497245788574,-0.5856451988220215,-1.6936569213867188,16.50571632385254
0,1060.0,3.0,1.5680155754089355,-0.8738554120063782,-0.5519906878471375,-3.748418092727661,17.717674255371094
0,1080.0,3.0,3.485807418823242,0.5562545657157898,0.3802255690097809,-2.3342535495758057,18.002456665039062
0,1100.0,3.0,2.3070859909057617,-1.184020757675171,0.02118964120745659,-4.00830078125,16.84881019592285
0,1120.0,3.0,0.0686042308807373,-0.01752600632607937,-1.8691604137420654,-2.8731942176818848,17.38605308532715
0,1140.0,3.0,2.084965467453003,-1.4637439250946045,-0.46662116050720215,-4.369955062866211,18.287376403808594
0,1160.0,3.0,1.7175118923187256,-1.570533037185669,-0.8673503994941711,-4.374719619750977,16.51363754272461
0,1180.0,3.0,0.7833852767944336,-0.3694329261779785,-1.1762958765029907,-3.1360297203063965,15.904415130615234
0,1200.0,3.0,-1.6253938674926758,0.05457397177815437,-2.856355905532837,-2.7767269611358643,16.96752166748047
0,1220.0,3.0,0.6787160634994507,0.5185979604721069,-0.8475894927978516,-2.2941036224365234,16.65485191345215
0,1240.0,3.0,1.757500410079956,-0.08006254583597183,0.50397789478302,-2.937171459197998,17.411113739013672
0,1260.0,3.0,-0.09154832363128662,0.12951865792274475,-1.1938177347183228,-2.6202244758605957,15.638617515563965
0,1280.0,3.0,-1.3517372608184814,1.160565733909607,-1.2510299682617188,-1.734885811805725,18.0916690826416
0,1300.0,3.0,-0.22278833389282227,-0.11174637079238892,-1.4327598810195923,-3.0169951915740967,18.26978874206543
0,1320.0,3.0,-0.6816246509552002,-0.18327875435352325,-1.9352219104766846,-3.011950731277466,16.922971725463867
0,1340.0,3.0,-0.3486189842224121,-0.4482401907444,-1.8587923049926758,-3.194620370864868,15.586109161376953
0,1360.0,3.0,1.0496761798858643,-0.8007696866989136,-0.818111777305603,-3.624210834503174,16.834684371948242
0,1380.0,3.0,0.4350064992904663,0.9178265333175659,-0.07465232908725739,-1.9547051191329956,17.681726455688477
0,1400.0,3.0,-1.731347918510437,0.57867032289505,-2.2492990493774414,-2.225130796432495,16.507274627685547
0,1420.0,3.0,-0.0011905431747436523,0.3506806790828705,-0.972492516040802,-2.4958534240722656,17.22796630859375
0,1440.0,3.0,0.9757142066955566,0.5933891534805298,-0.09093115478754044,-2.188699722290039,16.152725219726562
0,1460.0,3.0,0.20104479789733887,-0.11932351440191269,-2.0370349884033203,-3.021939754486084,18.22175407409668
0,1480.0,3.0,-1.0362517833709717,0.21478566527366638,-1.9057400226593018,-2.645561933517456,17.46759605407715
0,1500.0,3.0,-1.4168840646743774,0.4607400894165039,-2.1234381198883057,-2.399275064468384,17.4617919921875
0,1520.0,3.0,0.924390435218811,-1.0327730178833008,-1.3049678802490234,-3.8237757682800293,16.297351837158203
0,1540.0,3.0,1.354295015335083,-0.028634417802095413,-0.3860190808773041,-2.8505806922912598,16.80953598022461
0,1560.0,3.0,1.4311673641204834,-0.47583356499671936,-0.20620688796043396,-3.3900997638702393,18.43527603149414
0,1580.0,3.0,0.2939035892486572,-0.5098186731338501,-1.6857366561889648,-3.3431429862976074,17.001890182495117
0,1600.0,3.0,-1.5760350227355957,0.0947011262178421,-2.7278144359588623,-2.709523916244507,16.514270782470703
0,1620.0,3.0,-1.8204550743103027,0.24846437573432922,-3.9146010875701904,-2.6167404651641846,17.55264663696289
0,1640.0,3.0,1.0078966617584229,-0.44614309072494507,-1.7586071491241455,-3.2798011302948,17.007558822631836
0,1660.0,3.0,-0.4221925735473633,0.5822362899780273,-1.334047555923462,-2.249264717102051,16.970916748046875
0,1680.0,3.0,-1.1493778228759766,0.5958310961723328,-1.7303909063339233,-2.226987361907959,16.824203491210938
0,1700.0,3.0,-0.923823356628418,1.8513168096542358,-0.20270922780036926,-0.9664982557296753,16.740232467651367
0,1720.0,3.0,4.1099371910095215,-0.3843223750591278,-0.8066186904907227,-3.150740385055542,15.901570320129395
0,1740.0,3.0,-1.901556134223938,0.7724736928939819,-1.9981582164764404,-2.028675079345703,16.463550567626953
0,1760.0,3.0,0.29313933849334717,0.03438212722539902,-1.0227464437484741,-2.8239402770996094,17.43225860595703
0,1780.0,3.0,0.9591823816299438,0.3010726869106293,-0.26071596145629883,-2.6301987171173096,18.751455307006836
0,1800.0,3.0,1.073230266571045,-0.46155494451522827,-0.550435483455658,-3.256244421005249,16.357547760009766
0,1820.0,3.0,-1.752012848854065,2.4400439262390137,-1.1298683881759644,-0.4060487747192383,17.22036361694336
0,1840.0,3.0,-0.9659149646759033,-0.3826158940792084,-2.478761672973633,-3.2270092964172363,17.191129684448242
0,1860.0,3.0,-0.07198834419250488,-1.1492704153060913,-2.9404349327087402,-3.917959213256836,15.937725067138672
0,1880.0,3.0,0.3784952163696289,0.3064303696155548,-0.4039478302001953,-2.507875680923462,16.681596755981445
0,1900.0,3.0,-1.578965187072754,0.40666016936302185,-2.5145742893218994,-2.461493492126465,17.604480743408203
0,1920.0,3.0,0.39236176013946533,-0.1127520352602005,-1.8928163051605225,-3.012305974960327,18.16604232788086
0,1940.0,3.0,-1.8623746633529663,1.1590125560760498,-2.059094190597534,-1.676448106765747,17.03824806213379
0,1960.0,3.0,-0.14509069919586182,-0.274658203125,-1.5055607557296753,-3.063189744949341,16.25712776184082
0,1980.0,3.0,0.6825765371322632,0.6453877091407776,-0.5072691440582275,-2.151096820831299,16.386938095092773
0,2000.0,3.0,0.43217766284942627,0.2642604112625122,-0.7374037504196167,-2.5911612510681152,17.381765365600586
0,2020.0,3.0,-2.313802480697632,0.762778639793396,-2.4129250049591064,-2.0410056114196777,16.506996154785156
0,2040.0,3.0,-0.6502984762191772,0.7790752053260803,-1.6010167598724365,-2.155276298522949,18.809301376342773
0,2060.0,3.0,-0.024401426315307617,-0.18911932408809662,-1.2179921865463257,-2.9658586978912354,16.06654930114746
0,2080.0,3.0,-0.03813660144805908,-1.2538450956344604,-3.1751930713653564,-4.0461015701293945,16.317798614501953
0,2100.0,3.0,-0.8289196491241455,0.9910785555839539,-1.5711956024169922,-1.8930940628051758,17.888763427734375
0,2120.0,3.0,-0.2701387405395508,1.395727515220642,-0.0252455472946167,-1.3849314451217651,16.12964630126953
0,2140.0,3.0,0.1709914207458496,0.26903095841407776,-1.2096126079559326,-2.5941927433013916,17.517911911010742
0,2160.0,3.0,-0.7243335247039795,0.8763223886489868,-1.2951924800872803,-1.9434057474136353,16.772289276123047
0,2180.0,3.0,0.4168975353240967,-0.31597334146499634,-1.34872567653656,-3.1275362968444824,16.63589859008789
0,2200.0,3.0,1.0980358123779297,-1.1206341981887817,-1.0408248901367188,-3.9585728645324707,17.080524444580078
0,2220.0,3.0,0.18511748313903809,-0.0600116141140461,-1.266465187072754,-2.8969695568084717,17.063777923583984
0,2240.0,3.0,0.9978697896003723,-0.3410278558731079,-0.2988213896751404,-3.2084579467773438,17.591747283935547
0,2260.0,3.0,1.846639633178711,-0.8533869981765747,-0.4982543885707855,-3.7455382347106934,18.032060623168945
0,2280.0,3.0,1.3719565868377686,-0.5132171511650085,-0.6541651487350464,-3.432018518447876,18.519075393676758
0,2300.0,3.0,2.7538185119628906,-1.9897314310073853,-0.22028779983520508,-4.735307693481445,15.573586463928223
0,2320.0,3.0,0.6082345247268677,0.665286660194397,0.3059104382991791,-2.171145439147949,17.054807662963867
0,2340.0,3.0,0.3476755619049072,-0.18238791823387146,-1.2910025119781494,-3.079951047897339,18.129911422729492
0,2360.0,3.0,-0.15281248092651367,-0.1434670239686966,-1.3051785230636597,-3.133059501647949,19.877580642700195
0,2380.0,3.0,-0.5230010747909546,-0.2823510766029358,-2.0518407821655273,-3.175612688064575,18.052093505859375
0,2400.0,3.0,-2.206054449081421,-0.12302438914775848,-3.311525821685791,-2.934478521347046,16.63408660888672
0,2420.0,3.0,0.3380153179168701,-0.44579482078552246,-2.1818902492523193,-3.3284189701080322,17.861082077026367
0,2440.0,3.0,0.21072697639465332,-0.40852054953575134,-2.088418483734131,-3.2629621028900146,17.3647403717041
0,2460.0,3.0,2.9433138370513916,-1.2601771354675293,-1.1260790824890137,-4.149538993835449,17.981836318969727
0,2480.0,3.0,-1.76967453956604,0.4424775242805481,-2.672325611114502,-2.368950128555298,16.63364601135254
0,2500.0,3.0,-1.7949494123458862,-0.656220555305481,-3.508702516555786,-3.4999494552612305,17.179706573486328
0,2520.0,3.0,0.05799746513366699,0.25035420060157776,-1.165608286857605,-2.668369770050049,18.51764488220215
0,2540.0,3.0,-0.09785175323486328,-0.043358683586120605,-1.886745810508728,-2.9449939727783203,18.20389175415039
0,2560.0,3.0,1.2885816097259521,-1.3438889980316162,-1.2622301578521729,-4.18499755859375,17.134754180908203
0,2580.0,3.0,0.5056139230728149,-1.0585304498672485,-1.757224440574646,-3.899832248687744,17.138065338134766
0,2600.0,3.0,-0.12055158615112305,-0.5791110396385193,-2.0087223052978516,-3.4365553855895996,17.416955947875977
0,2620.0,3.0,-0.6875765323638916,0.40345168113708496,-1.403185248374939,-2.458818197250366,17.50120735168457
0,2640.0,3.0,-0.1775660514831543,-0.5238147377967834,-1.6626088619232178,-3.3889713287353516,17.551801681518555
0,2660.0,3.0,1.525989294052124,0.7237982749938965,0.2912925183773041,-2.0924336910247803,16.713754653930664
0,2680.0,3.0,1.409127116203308,-1.3866908550262451,-1.565833330154419,-4.230347633361816,17.17847442626953
0,2700.0,3.0,-0.38541126251220703,-0.6971562504768372,-3.4072697162628174,-3.4949989318847656,16.409210205078125
0,2720.0,3.0,-4.432680606842041,1.0156307220458984,-4.827374458312988,-1.8156991004943848,16.9680118560791
0,2740.0,3.0,-1.8237965106964111,0.8734718561172485,-1.988305687904358,-2.040581703186035,18.431364059448242
0,2760.0,3.0,0.26946890354156494,0.44094353914260864,-1.1473109722137451,-2.360959529876709,16.475971221923828
0,2780.0,3.0,0.018842458724975586,0.34748998284339905,-1.094988465309143,-2.4488682746887207,16.384870529174805
0,2800.0,3.0,0.31992805004119873,0.4716847836971283,-1.3079736232757568,-2.305239200592041,16.069515228271484
0,2820.0,3.0,-0.24677562713623047,-1.697148323059082,-3.104872226715088,-4.50301456451416,16.541400909423828
0,2840.0,3.0,4.085766792297363,-1.3712613582611084,0.1408006250858307,-4.239943981170654,17.613798141479492
0,2860.0,3.0,-1.354607343673706,0.34233760833740234,-1.8957493305206299,-2.512627601623535,17.37383460998535
0,2880.0,3.0,-4.992542266845703,0.624508261680603,-5.493928909301758,-2.2051496505737305,16.939661026000977
0,2900.0,3.0,0.10599052906036377,0.663112223148346,-0.549996554851532,-2.226597309112549,17.988082885742188
0,2920.0,3.0,1.5978327989578247,-1.1565288305282593,-0.7220903635025024,-4.030889511108398,17.71409797668457
0,2940.0,3.0,-1.9368970394134521,-0.3362710177898407,-3.442701816558838,-3.1210784912109375,16.196697235107422
0,2960.0,3.0,-2.8084378242492676,0.23279842734336853,-3.4976558685302734,-2.6439614295959473,17.75664520263672
0,2980.0,3.0,-1.7128021717071533,-0.18203890323638916,-3.0306501388549805,-3.1358699798583984,19.17929458618164
0,3000.0,3.0,-0.73198401927948,-0.3139520585536957,-2.310995101928711,-3.202225685119629,17.96227264404297
0,3020.0,3.0,-0.9481232166290283,1.4826480150222778,-1.3884016275405884,-1.3791648149490356,17.493209838867188
0,3040.0,3.0,1.6274700164794922,-0.30503082275390625,-0.4694457948207855,-3.1432173252105713,17.084754943847656
0,3060.0,3.0,-2.8359386920928955,1.4114714860916138,-2.517446517944336,-1.4206472635269165,16.981401443481445
0,3080.0,3.0,0.6169894337654114,1.1428110599517822,0.15431074798107147,-1.6833293437957764,16.88018226623535
0,3100.0,3.0,-0.8459044694900513,0.7118779420852661,-1.199286937713623,-2.047072410583496,15.783267974853516
0,3120.0,3.0,-0.7399204969406128,-0.6039813756942749,-2.6221530437469482,-3.5611891746520996,19.244159698486328
0,3140.0,3.0,-1.426762580871582,0.800822377204895,-2.028369903564453,-1.9909545183181763,16.30997657775879
0,3160.0,3.0,-0.44022130966186523,0.3193010687828064,-1.9533888101577759,-2.525688648223877,17.201383590698242
0,3180.0,3.0,2.118896484375,-1.7277271747589111,-1.0931686162948608,-4.489437103271484,15.826878547668457
0,3200.0,3.0,-1.062075138092041,0.681475818157196,-2.8635334968566895,-2.240593910217285,18.57970428466797
0,3220.0,3.0,-2.439675807952881,0.3587811589241028,-3.497990846633911,-2.5472633838653564,18.284332275390625
0,3240.0,3.0,0.7056908011436462,-0.9248582720756531,-1.7130470275878906,-3.733797311782837,16.592302322387695
