znf207,polr2g,sae1,cap2,acly,pea15,dctn2,sf3b4,fcn3,clec1b,psmd4,cyp1a2,parp1,dbh,ecm1,col4a1,nat2,polr3c,mt1f,lcat,cs,ctnna1,copa,vipr1,scamp3,hgs,tomm40,thy1,top2a,c8orf33,pttg1,prc1,igfals,cdc20,pogk,creb3l2,aspm,mt1g,slc39a1,psme3,lsm2,nup205,cfl1,psmb4,plod3,b4galt3,irak1,ap3b1,neu1,nusap1,stip1,cdk4,fam20b,ccnb2,apof,kpnb1,hamp,srd5a2,aatf,gpc3,snx27,nploc4,gtpbp4,lamc1,lmna,cyp39a1,slc41a3,plvap,mt1m,ckap4,chst4,mcm3,ncapg,prpf3,capns1,kifc1,atic,pck1,atp6ap1,ptprf,mcm6,gmfb,cyp3a4,smg5,dnmt1,mpv17,kmo,dap3,dars2,aurka,mt1e,gnpat,kbtbd11,fos,mt1x,clic1,cetp,lsm4,cdc25b,ass1,mid1ip1,vps37c,trrap,acaca,sac3d1,slco1b3,s100a10,cnih4,hcfc1,rnd3,gla,cdkn3,gba3,cln3,fbl,bcap31,gpaa1,tbce,sqle,ncapd2,dnase1l3,lasp1,tmem106c,zgpat,ghr,actg2,mcm5,tuft1,gnpda1,pygb,tkt,slc22a1,pafah1b3,rusc1,mapre1
7.777293537,9.327337874,9.46255486,7.173285392,8.09552796,8.300071109,8.63112632,8.28093615,13.10172185,9.973752737,6.573684737,13.03232559,8.902268396,7.975282037,7.641234107,8.626676937,9.277807983,7.892995198,13.40335157,9.964151416,5.885392947,9.824128765,9.716691171,8.547740591,5.957617264,8.121009783,8.010223393,6.294231019,5.990086649,7.835884669,6.929885701,6.356589646,9.778194218,6.269059422,7.767703914,7.983175514,6.962057988,14.39518867,8.526980905,6.852793587,9.349246435,7.425543907,9.865744171,10.03989921,8.465962232,7.422861411,7.521399068,8.53744802,7.699183164,6.155281006,8.195015347,8.394765127,8.030190465,6.028637857,11.76507718,8.665327255,13.84937325,9.351847975,7.392241461,5.81123092,7.911782513,6.843200046,8.463194202,8.049554552,7.846092545,8.098464677,7.692721515,6.592978438,10.84312225,8.622467306,7.820383002,6.929223585,5.682008793,6.828431048,8.785084083,6.054000579,9.424304441,10.28295176,9.51656135,9.318342224,7.471722119,8.592849834,12.63288357,6.54619117,7.408405997,6.985263002,8.563392118,8.527485167,6.985533842,6.712517352,13.47431072,7.816586549,9.214483172,7.293872834,13.81974006,8.6251088,7.313336629,8.454871277,6.669112255,12.97367658,7.094943685,8.004069958,7.849327992,7.713793168,8.111617143,9.789412237,10.2900328,8.950592731,7.719780387,8.566911106,7.125110889,5.7598424,11.47315382,7.107434099,8.612956452,9.876544202,7.702506482,7.504661086,8.467503683,5.992646194,10.7752687,9.994753948,8.3451054,8.984081079,11.65565457,6.581420048,7.14825628,6.721672574,7.972982574,6.936494862,8.90281023,10.55663223,6.737238475,7.662480823,7.872607402
7.887063211,9.259412415,8.886255368,6.754788365,8.362570936,8.451860867,8.467503683,8.236704803,12.22630555,7.800586612,6.468741567,13.10172185,8.944721439,7.525402109,7.480143806,7.746084308,9.970134085,7.747101742,12.60341156,10.82365973,5.882823056,9.891969754,9.545147071,8.929041825,6.027146795,8.766823682,8.525453143,6.031949191,5.73847996,7.400536714,6.649283991,6.161328046,11.19476566,6.019330943,8.108870076,8.00079376,6.633447812,14.0199876,7.909916532,6.601955537,9.409276415,6.887718659,9.890704837,9.644170473,8.526980905,7.499053847,7.03192505,8.149752796,7.023320003,6.268420302,8.498683429,7.796717331,8.25981408,5.873354162,12.19360392,9.149171721,12.7723736,7.638389554,7.007707665,5.893030919,8.218947035,6.489813428,8.239155727,8.346885212,8.075594909,8.570001431,7.677545572,6.832822578,8.041229524,8.187389494,7.799328625,6.66139408,5.835012672,6.59264351,8.639078518,6.031737057,9.373851711,10.48846033,10.44535833,9.422531947,7.586896081,8.885030182,12.94333575,6.522668174,6.660588665,6.054661441,9.665724813,7.914760564,6.649658261,6.085058371,13.08701531,7.309263738,9.521325237,9.008674858,12.64241176,7.840205806,6.827335831,8.063263688,6.603517184,13.60277654,6.718404191,8.215749183,7.913086396,6.767533514,7.965768015,8.894484247,9.101094381,9.088698203,7.298545706,8.454871277,6.442961429,5.699631088,11.09783279,6.110988644,8.875088882,10.17192003,6.930914445,6.477773173,7.318975194,6.084399553,9.130418664,10.1853909,8.772681937,8.795413806,11.76194867,6.56388875,6.769019613,6.209812343,7.857877964,6.260478899,8.379477556,10.92037826,6.111290302,8.103258199,7.073728132
8.070021493,9.406710851,9.353445592,7.003722428,8.01159157,8.519953035,8.79370151,8.131716979,12.51633457,9.216722103,6.780672661,11.98526342,9.061241011,7.817163218,7.259591162,8.595450037,9.165637005,7.561538013,13.18961024,9.704461587,5.827102951,9.673212752,9.634565281,8.065893326,6.074310866,8.037449033,8.005781139,6.437955114,6.469493946,7.462352381,6.809582695,6.518338482,8.836710724,6.05371096,7.935782363,8.3005158,6.847504082,14.20258868,8.110083564,7.048186833,8.865662112,7.384540827,9.61185118,9.743567118,8.310071254,7.218958433,8.094427764,8.516091519,7.88550315,6.661079119,8.011909684,8.350387376,8.020274605,6.035700637,11.51946172,9.193400412,13.67095946,8.430085616,7.342097063,6.846834947,7.79139152,7.032598947,8.461730532,7.762517001,7.790890997,7.56464317,7.533266608,6.826120731,11.09344158,8.786947692,7.89524752,7.19894476,6.137180897,7.221557094,9.351847975,6.145521317,9.298839464,11.69064816,9.520281845,9.73956007,7.884894686,8.32875315,11.60516171,6.809454735,7.99844219,7.116953642,8.445056567,8.925845243,6.527614489,6.672754397,13.25303578,7.916657195,7.88645016,10.80968073,13.44401342,9.016913366,7.638170756,8.769158773,6.673855658,13.23706274,7.041287626,8.141627407,7.695406766,7.42453253,7.77178652,9.123771904,10.70986462,8.719605213,7.922313791,9.200518637,7.173137156,6.060146278,10.90759563,7.068059826,7.930318387,9.38945378,8.317642742,7.360312492,7.852939168,6.388626864,9.812901067,10.04103014,8.169597455,9.497799108,10.95090058,5.828602123,7.689124938,6.677863023,8.28093615,6.944805155,8.256049464,10.4520349,7.430494936,7.579971039,8.367973119
7.922313791,9.208316117,9.564611696,7.17643318,7.909633828,8.432931497,8.597607034,7.922642255,12.39631495,8.646691529,6.62274158,12.53112742,9.025480562,8.013000991,6.94831459,7.66273054,9.536571163,7.627348734,13.17496129,9.993531334,5.758769834,10.00074067,9.488728128,8.477177881,6.115049523,8.441775195,8.521460831,6.105145386,6.34084672,7.741444198,6.941120879,6.198899849,9.736404763,6.381182002,7.930939801,7.958916207,7.202389561,14.28988044,8.102177397,6.940195088,9.166412455,7.314412955,10.16103037,9.708611141,8.401789121,7.505585871,7.66721019,8.571526348,7.636082031,6.83390027,8.252383734,8.24527751,8.394214884,6.094126062,11.37757302,9.072049685,14.00351868,8.455846952,7.42815498,6.284258431,8.191772266,6.970117748,8.433797257,7.85634401,7.64234766,8.312268528,7.859456445,6.669193987,10.1204943,8.400797118,7.612239561,6.973130167,6.016700395,6.866967044,8.672610387,6.150313858,9.180274122,10.89124325,10.00445186,9.90272146,8.222625627,8.508221574,12.51633457,7.496228364,8.103258199,6.689774192,9.486954796,8.6097294,6.805360639,6.627402196,13.27694434,7.791145356,8.60647286,10.66318451,13.62883519,8.350856178,7.456917032,8.644576106,6.114334174,13.35366581,6.84957748,8.297460332,8.130683945,7.66432832,7.706975456,9.303597801,10.03272953,8.953210903,8.082317511,8.619418962,7.214935037,5.855873487,10.99040508,6.65160794,8.645629699,9.632477934,7.516849415,7.522115837,7.225610656,6.679964815,9.545147071,10.45669058,8.200188636,8.822504663,10.92855558,6.316968682,7.464216864,6.265708378,8.107367686,6.801365773,8.422247902,10.25883571,6.803236694,7.767400162,7.673964008
8.166179151,9.422531947,9.481425298,7.139437471,8.181687225,8.354085006,8.834869411,8.042600641,12.7723736,9.726556573,6.578080065,12.51633457,9.031106914,7.529098964,7.628654926,8.471299215,8.903450816,7.531894644,12.44149144,9.40597102,5.992090937,9.73956007,9.758245906,8.11806179,6.11550925,8.044589197,8.205779308,6.21692161,6.269802378,7.415371879,6.799193322,6.276570362,8.548766975,6.154445778,8.124614969,8.32955503,6.746796979,13.83437167,8.237526644,6.802473143,8.610799403,7.411508413,9.696917243,9.898007797,8.542175545,7.071909525,8.163025193,8.865662112,7.978914098,6.420776193,8.253158879,8.143953455,8.241641958,6.044674854,11.17654654,9.241830781,13.47431072,8.125049072,7.343154091,6.377987745,7.903250616,7.269101272,8.508221574,7.75156023,7.911782513,7.52932224,7.64626364,6.432561356,10.40645845,8.873743538,7.868596398,7.074554088,6.115332751,6.912524829,9.286700652,6.234600178,9.42517304,10.56955723,9.610934038,9.543192216,7.761082912,8.344687284,11.08282659,6.838918628,8.018512784,6.856490593,9.35023609,8.970658026,6.564538538,6.782812983,12.8948257,7.985260792,7.727942946,9.538360408,12.72347937,9.225317015,8.077176078,8.505918903,5.93983319,12.57379886,7.295126369,8.099931053,7.593171032,7.068059826,8.498683429,9.298839464,10.58822369,8.640164102,7.892352813,9.398003411,7.386742237,6.048806664,10.85864685,6.966949965,7.959243804,9.746917519,8.41537358,7.234859236,7.977524224,6.444776434,10.51791981,10.3442162,8.142017759,8.649460505,10.79639784,5.840312935,7.659271031,6.370683171,8.310475975,6.955375627,8.770325712,10.30023603,6.986612784,7.585859333,8.233502496
8.338841598,9.328247918,9.209151639,7.252228416,8.203733792,8.555792141,8.553860299,7.925917217,12.5544025,8.784428098,6.657608172,11.87049111,8.821304053,6.683571567,7.523767528,8.915950603,9.548785561,7.914393365,13.22969685,9.170302746,5.950221056,9.585703642,9.36382521,7.585123501,5.8904917,7.443211552,7.652725962,6.185900536,6.058377799,7.071683739,6.77006378,6.201983489,9.308500174,5.886178282,7.543615007,7.197937225,6.82138564,14.34930068,7.897811848,6.368482713,8.991606277,7.062542111,9.49512804,9.900328321,8.087373974,7.159945224,7.271536063,8.151593351,7.912126645,6.319619062,8.197001509,8.064736426,7.55643719,6.150632591,11.36245123,8.014662878,12.88869285,8.524943127,7.328721813,6.051199332,7.281524613,6.167202162,9.022567398,7.590904937,8.266047634,8.472663557,7.437217281,6.881346486,11.20819939,8.635841762,7.907057931,6.952834122,5.78953783,6.405667422,9.096051453,6.006383355,8.982088191,11.20383515,9.087261254,7.082729722,8.088186518,8.621437782,12.26306263,6.253515394,7.222613107,6.659389323,9.194908943,9.096736258,6.365084265,6.767749072,13.61638631,7.619794375,6.90366222,11.39503645,13.45388931,9.252077856,7.66721019,8.351302826,6.250174946,12.76068459,8.051699261,7.845730912,6.650830314,6.228380704,8.148628013,10.31917604,10.98623234,9.384768258,6.548443894,9.825271491,7.457971085,6.048052432,11.4253257,6.444437064,8.10293684,9.733033742,7.356948562,7.77274106,7.921324827,5.685771127,10.07523964,9.097424266,7.323326666,9.098033707,11.05604423,6.008815673,7.648032126,6.629766139,7.934772011,6.347605212,8.34916241,9.973752737,6.736438866,7.265934741,8.358975954
7.725115221,9.367950049,9.179494886,6.591011159,8.120641362,7.916657195,8.40816386,8.02979321,11.73212469,7.431951352,6.627642803,12.99249425,8.947398393,7.199088912,7.133949006,7.849327992,9.58983248,7.565544689,13.16145339,9.899135725,5.939221529,9.620564694,9.317473199,8.486408104,6.026779081,8.612956452,8.449908757,6.185185309,5.625391262,7.580482654,6.590243783,5.933497657,9.405129692,5.99364361,7.849612597,7.862954263,6.782188396,14.28988044,7.865486972,6.595061875,8.939334699,7.223050888,9.521325237,9.570359098,8.867582319,7.813572854,8.010865187,8.208667268,7.667964018,6.208551387,8.61238637,7.829411828,8.044929107,5.699564465,11.93591359,8.87742894,13.47431072,7.609532822,7.308560482,5.947003482,7.981770439,7.086918841,8.350387376,8.042600641,7.745500216,8.080450645,7.471722119,6.780305783,10.13791789,8.187809253,8.176737018,6.845634577,5.822007311,7.549001158,8.543655858,6.116773483,8.977521524,9.748032768,10.30761627,9.942701789,7.250990084,8.2331002,12.55010372,7.557895573,7.666131128,6.571284838,9.285208028,8.487425069,6.636833568,6.18781433,13.01814564,7.723461104,8.476237128,10.50314508,13.08701531,8.026567391,6.770339817,8.546211003,6.603813609,13.24474657,7.043755199,8.517064799,7.999490378,7.719532749,8.509158808,10.03135483,9.699294922,8.77092975,8.436059566,9.543192216,6.895777604,5.80572986,10.61599474,6.667715758,8.090792429,10.21584441,7.712118115,7.33691821,7.15570457,6.045590998,8.320828157,10.32333785,8.515617996,8.6245657,10.52993362,5.797050634,7.054373009,6.455534754,7.659033136,6.701448968,8.910028827,10.45068488,7.256400649,7.940011187,7.321662081
7.759406692,9.275550624,9.441924093,7.323133855,8.091537458,8.740224957,8.914600991,7.878090154,12.84392646,9.635569739,6.616497997,12.12648414,8.68292502,8.398134054,7.122187167,8.179192394,8.760875413,7.749259673,13.01814564,9.806276824,5.730273515,9.40597102,9.488728128,8.522484049,5.655553692,8.657780194,8.367498619,6.148840306,5.753546473,7.472848247,6.818328616,6.336361879,9.056282763,6.23272761,8.143530748,7.93772412,6.527245398,14.37122228,7.824557648,6.820341235,9.137799202,7.055830614,10.60365224,9.773671705,8.229281749,7.6723442,7.417196239,8.250668805,7.700815173,6.473309261,7.559383635,8.437465364,8.009180977,5.844197502,10.93457984,8.334913554,14.09112382,9.486954796,6.903783487,6.415399236,7.91537787,6.647970452,8.45874609,7.731898506,7.842913634,7.412311547,7.948026863,6.726590254,10.80968073,8.40495145,8.126498891,7.080076185,5.863555406,6.913335253,8.76330032,6.176935996,9.324922419,11.35292463,9.830929205,9.336280083,8.001097744,8.529993567,11.71141513,7.161893871,8.202929836,7.175730111,8.535141884,8.558310156,6.864718842,7.17820538,13.1451807,7.573109598,7.253994934,10.96961063,13.84937325,8.991606277,8.394765127,8.623007295,6.313381053,12.53575173,7.316250654,8.149013389,7.628124812,7.043971493,7.26752493,8.93418709,10.5014735,8.967252141,7.734711235,10.0133684,7.203703633,5.8066454,10.99484625,6.486862208,8.881195641,9.255264439,7.407389361,7.727090909,8.088542289,6.39618333,10.68807321,9.820760515,7.659271031,8.600318602,10.99710468,5.881257118,7.301919645,6.283618207,8.3804124,6.68501827,8.204971577,10.14209923,7.287879169,7.771222645,8.658786217
7.793532582,9.017524722,9.373851711,7.083405175,8.258514238,8.391918955,8.409958788,8.289906515,13.26075136,8.810510626,6.627605299,13.03232559,9.319024367,8.371275538,7.481911268,8.313642646,8.793139563,7.745500216,13.44401342,9.752453284,5.792118793,9.931906058,10.06643332,8.196196716,6.140580427,8.527485167,8.54679309,6.531206059,5.942307051,7.299398834,6.855040101,6.217219384,9.921078459,6.040320613,8.246482114,8.223021106,6.731667922,14.60486269,8.308346521,7.15285292,8.78156071,7.231195287,10.0387308,10.64593819,8.889990994,7.683153227,7.46445074,8.396217775,7.753237607,6.481890192,8.509158808,8.248943609,7.999137636,5.733278834,11.91933364,9.155912982,13.98560803,8.417164029,7.371553284,5.811513158,8.123512668,6.932297043,8.595450037,7.939357752,7.854416913,7.422861411,7.683667841,6.763010197,11.73796695,8.558310156,8.541603247,6.939449995,5.976320908,6.583141448,8.715719599,5.943191642,9.531913274,11.05840266,10.2504204,9.643081553,7.275293561,8.717344068,12.42378529,7.049521478,7.714636235,6.630412911,9.273998627,8.480025032,6.524243,7.183749003,13.67095946,7.600437702,8.399854342,9.896768406,14.00351868,8.501120367,7.115005388,8.287821954,6.762135007,12.75007265,6.823084284,8.26862136,7.89524752,7.281864183,7.803173079,8.616656392,9.717834374,8.766263013,7.837454475,9.452631302,7.206791177,5.845096357,11.07604261,6.709510909,8.463194202,9.830929205,7.447819449,7.454727175,7.647520693,6.466236296,9.885904806,10.26738791,7.97941265,8.026975349,11.13127358,5.916823559,7.170987514,7.426159428,8.02348545,6.84234812,8.70536613,10.21858992,7.458622871,7.544784633,8.473720048
8.133633504,8.928479019,9.857450142,7.883247194,8.637513555,8.70536613,8.812813489,8.067773276,12.1069613,8.471771304,6.746462467,11.97101564,9.200518637,7.028886362,6.861357761,9.392945022,9.46255486,7.705044398,12.54511388,8.973322192,5.820353239,10.14918947,9.62350498,8.079756598,6.038358531,8.379477556,8.465472058,6.914907956,6.109991534,7.625366197,6.668765825,6.039799011,9.365467921,6.080540062,8.028057722,7.621406614,6.849625253,14.03784698,8.18970483,7.057162621,9.396312533,7.383934778,10.37438394,9.473530646,8.77326372,7.475064102,7.528220616,8.526980905,7.636374322,6.630310604,8.218571334,7.930939801,8.369397808,6.110122968,10.51791981,9.096736258,13.98560803,7.857541161,6.892251804,6.949900027,7.729091168,7.000980992,8.817094281,8.327498383,7.804925935,8.055628563,7.77274106,6.713817795,8.700754899,8.323405234,8.411191334,7.026839326,5.989211505,6.699076488,8.707031095,6.123182828,9.188003881,10.84312225,10.19509796,10.0855394,8.02518137,8.942653529,12.53575173,7.071016121,7.745500216,6.597080447,9.41011535,8.396217775,7.059704837,6.635712671,12.99879916,7.985922449,8.583129489,9.815102511,12.49243536,8.32206416,6.86494161,8.844435999,6.122848837,13.08048709,6.986291991,8.553316261,8.128400163,7.705584693,7.537395379,10.13522082,10.19251284,8.958315074,7.731586823,10.07905422,7.64175222,5.845096357,11.44794662,6.709730776,8.257738573,10.01727737,7.315174233,7.39102359,8.183217108,6.294147995,9.648393019,10.2504204,8.90748194,7.811259554,11.4556106,6.311330917,7.403771039,6.889069836,7.982857691,6.640465748,8.998474208,10.39656178,6.571421488,7.828454156,7.414954726
8.071475973,9.573410964,9.4187442,7.195601471,8.337923141,8.723020123,8.957647018,7.646518153,12.97367658,9.316685862,6.690938101,11.94311022,9.087990602,7.214935037,7.958916207,9.221990018,7.58987502,7.239365587,11.85637295,8.476705301,5.88872576,9.730858915,9.922338218,7.510786875,6.109435724,7.648273023,7.77815689,6.440791619,6.115713241,7.62510865,6.580466618,6.391405608,7.409391387,6.15097257,8.021029202,8.486924305,7.220794911,14.03784698,8.27603687,6.533531865,8.414505124,6.710522006,9.671066791,10.67562459,8.617277754,7.537395379,8.142707766,8.614553703,7.88798635,6.544870596,8.119556959,8.197001509,8.355363669,6.08124337,10.34878769,9.155912982,13.64300279,7.063874341,7.054696934,7.396668417,7.843501188,6.693918919,8.489278557,7.672873453,8.363491227,7.106315712,7.886757721,7.184566697,10.10407138,9.002559635,8.895909123,7.308037654,6.138941836,6.723307737,9.548785561,6.090860979,9.939041936,11.40728205,9.493299352,9.253662139,8.416694212,8.518091107,11.15409734,6.377941749,7.97941265,7.07975252,8.454871277,9.094604507,6.282114587,6.643274976,13.05976811,8.203321913,6.579789141,10.77343136,12.63288357,9.546892757,7.874194138,8.995095566,6.537883801,12.8096523,7.222008309,7.711857005,7.161608119,6.519837751,7.687706027,8.327890129,10.44535833,8.76971306,7.359318422,9.471907798,7.446522418,6.00153376,9.839242274,6.700943688,7.745764135,9.800754022,8.437465364,7.346388561,7.756648221,6.062716655,10.50314508,10.037441,8.253627342,7.637921432,9.899135725,6.049814812,8.192964362,6.202235163,8.63851497,6.668818166,8.755745087,9.975045883,7.525402109,7.572099827,8.493357798
8.621927842,9.592690329,9.698094626,7.555061451,8.854173679,9.293884208,9.227448643,8.759153257,12.79826749,9.073449199,7.005843445,11.32358087,9.459786594,6.993647609,7.321662081,9.840329621,7.520223162,7.914393365,12.25492201,8.405881726,5.824290784,10.33506836,9.909683199,8.037086563,6.096877734,8.45778832,8.044929107,7.288801154,7.418286165,7.639236752,7.044906259,6.831315917,8.530508461,6.791245929,8.193341888,8.379019525,7.05824168,13.9678998,8.664764344,6.958773276,9.390317508,8.042600641,9.844931575,10.4618946,8.948738654,7.666975211,7.937081581,8.917944049,7.956205044,7.03515712,8.371769266,8.362164444,8.221833284,6.500210612,11.34056446,8.629465833,13.74438467,8.023145996,7.660105057,6.216816034,8.025517683,7.038923763,8.901646563,7.833532729,8.459248539,6.831749782,7.684999956,6.736866852,10.04634849,8.375352789,9.190221865,7.162030593,6.117884977,7.035980335,9.20983843,6.46575717,9.540206207,11.07604261,9.987260742,7.94032242,8.564892089,8.326551219,11.37757302,6.744952344,8.264746466,7.575110429,9.035175739,9.188762243,6.771839919,7.006774192,12.75007265,8.057408483,7.395232841,10.76813572,12.95476601,9.556146475,7.706157346,8.520966228,6.005737672,13.08048709,7.179932402,8.641857125,7.856023181,6.995002357,8.194573498,7.790890997,10.5449579,7.815746015,7.274581696,9.247197114,7.639752987,6.098666377,10.38596674,6.907553482,8.186234333,9.751494851,7.64175222,7.290944372,7.554819276,6.444662614,10.57970328,10.06768336,8.11806179,8.68292502,9.184785996,6.75426765,8.035750724,6.894374106,8.828148202,6.778417686,9.289067866,10.00586357,7.146315831,7.744705479,8.512597448
7.677851357,9.406710851,9.529876716,7.349736584,7.901325945,8.234732826,8.732766998,7.683153227,12.11083683,8.757353552,6.68077842,11.34056446,8.859560838,7.826896687,7.095306497,7.888313974,9.387115985,7.471509056,11.22013638,9.861087944,5.857038047,9.468193441,9.764919391,8.0071502,6.162641313,8.107717342,7.945394564,6.01795103,5.739248172,7.61645224,6.550253349,6.050367736,8.999722033,5.870001865,7.843810239,8.195799167,6.810738871,13.48543163,8.319944096,7.010165948,9.237688857,7.068059826,9.934227532,9.8585755,8.550234473,7.231020369,7.447819449,8.217701291,8.002386216,5.994309536,7.975887765,8.426884806,7.974610486,5.880306374,11.10661438,9.016913366,13.9678998,9.075493569,7.188640621,6.278654296,7.947073751,6.717079515,8.343818366,7.748456737,7.784678794,8.01159157,8.187389494,6.451445105,9.078339431,8.281399678,8.051337913,7.00034388,5.745641037,6.679296596,8.455846952,6.101377207,9.132714875,10.96097024,9.491425057,9.802954774,7.46120432,8.592377872,11.34542351,6.512312769,7.490947145,6.428714632,9.743567118,8.612956452,6.617551925,6.21481784,12.90106325,7.75156023,8.286992561,10.6916621,13.51781591,8.627256176,7.186299021,8.313642646,6.546548952,13.10835644,6.791642751,7.847022891,7.371376857,7.110571033,7.489029247,9.149825525,9.889519304,9.588771255,7.440492758,9.534878913,7.74817,5.758120841,11.19710698,6.747508129,8.553860299,9.616635154,7.778479316,7.752664055,8.059975163,5.9418671,9.738563074,9.90380659,8.135442824,9.226744445,11.36982996,5.667538583,7.059382913,6.311038051,8.07224929,6.71952233,8.336148724,10.51480192,6.695755056,7.596213966,7.855735657
