"","id","label","znf207","polr2g","sae1","cap2","acly","pea15","dctn2","sf3b4","fcn3","clec1b","psmd4","cyp1a2","parp1","dbh","ecm1","col4a1","nat2","polr3c","mt1f","lcat","cs","ctnna1","copa","vipr1","scamp3","hgs","tomm40","thy1","top2a","c8orf33","pttg1","prc1","igfals","cdc20","pogk","creb3l2","aspm","mt1g","slc39a1","psme3","lsm2","nup205","cfl1","psmb4","plod3","b4galt3","irak1","ap3b1","neu1","nusap1","stip1","cdk4","fam20b","ccnb2","apof","kpnb1","hamp","srd5a2","aatf","gpc3","snx27","nploc4","gtpbp4","lamc1","lmna","cyp39a1","slc41a3","plvap","mt1m","ckap4","chst4","mcm3","ncapg","prpf3","capns1","kifc1","atic","pck1","atp6ap1","ptprf","mcm6","gmfb","cyp3a4","smg5","dnmt1","mpv17","kmo","dap3","dars2","aurka","mt1e","gnpat","kbtbd11","fos","mt1x","clic1","cetp","lsm4","cdc25b","ass1","mid1ip1","vps37c","trrap","acaca","sac3d1","slco1b3","s100a10","cnih4","hcfc1","rnd3","gla","cdkn3","gba3","cln3","fbl","bcap31","gpaa1","tbce","sqle","ncapd2","dnase1l3","lasp1","tmem106c","zgpat","ghr","actg2","mcm5","tuft1","gnpda1","pygb","tkt","slc22a1","pafah1b3","rusc1","mapre1"
"1","GSM890144","control",8.112392728,9.261872375,9.544194816,7.242815735,8.347824977,8.455846952,9.03380443,8.828807972,12.31956435,7.610797886,6.593003627,13.12189946,9.014238287,8.500193353,7.307514235,8.952527416,9.338741831,7.681772802,13.03232559,9.710659806,5.894147492,10.2900328,9.665724813,9.131218773,6.087825044,8.823783492,8.899688355,6.547889132,5.941975479,7.789437241,6.885375685,6.118097823,9.396312533,6.254298414,8.205779308,8.456904088,6.883989183,14.308557,8.267675837,7.148799503,9.100243908,7.242038899,9.89445473,10.21027473,9.101094381,7.567228611,8.15711581,8.460727548,7.660105057,6.971800299,9.005882674,8.273217345,8.25981408,5.952813577,12.20603237,9.132714875,14.34930068,7.166230796,7.936733616,6.07920828,8.260235834,7.380796335,8.426884806,8.903450816,8.440353127,8.070705398,7.98937962,6.678022078,8.891320244,8.585767266,9.024000193,6.776842203,5.866293988,7.061451795,9.198374799,6.055973171,10.23161659,9.641994198,10.0855394,9.603139733,7.855404161,8.45778832,12.65722992,7.547605271,7.813572854,7.07744492,9.646406775,8.349587074,6.67071157,6.245287499,13.1451807,7.794637061,8.836126585,10.28428326,13.17496129,8.447470866,6.856378612,8.563929394,5.970295776,13.69731582,7.424945514,8.821875621,8.52299643,7.559383635,8.623007295,8.450379376,9.88468533,8.367498619,8.039856491,9.48416724,7.335387229,5.601320603,10.64215717,6.818875436,8.587283693,10.45669058,7.534946732,7.369035735,8.288705775,6.711627786,8.525974853,10.99710468,8.214854615,9.011567427,10.24598707,6.588645809,7.556004381,6.724605034,8.228851591,7.162794393,9.77255998,10.87692845,7.305009995,8.143953455,7.80088112
"2","GSM890403","case",9.830535678,10.61783441,11.35618455,9.091431672,10.62161891,10.60186668,9.497074772,10.81023762,7.170035547,5.669728984,6.441869848,5.686318426,11.17644064,5.855761115,6.498894489,11.16795764,6.415493941,9.279150515,7.778228653,6.694968911,5.935074907,10.63439231,11.27606391,6.937649263,7.966976108,9.935655465,10.50485308,8.81221049,9.54869663,8.587638282,7.265464436,8.367009847,8.239332839,8.428397465,9.774072473,9.280337282,10.21393392,10.712223,9.972275021,8.323336739,10.16251568,8.768420108,11.00343295,11.15353384,9.378380171,8.881667916,9.022359548,9.71345759,9.274942132,8.733151115,9.869732299,9.403872942,9.981236072,7.597616154,5.800722365,10.57677542,9.989217213,6.505569678,8.463208561,11.40424141,9.258746676,8.120497487,9.651271027,12.60112618,9.523238645,6.466234802,8.378092704,8.493034865,5.998215344,10.43704597,6.489634284,7.686174275,8.105693392,9.06180702,10.89178621,7.693565124,10.81784079,6.719699666,11.65777788,10.96031871,9.292510031,10.25043392,6.485836797,8.437359407,9.153135953,8.075108729,6.760817809,9.848415366,8.094744794,7.734829526,8.184210835,9.326197821,5.767378449,7.220785982,11.06685315,9.690917259,6.751005029,9.225070456,6.273050631,10.64389719,9.582737067,10.09807438,9.235120633,9.125338296,10.57548934,5.908920659,9.701099303,11.80364742,8.942006532,8.52239017,7.968894244,7.491156938,6.360399429,8.468921084,10.00213604,10.95546431,9.282270894,9.261654602,8.674658007,8.022394839,7.563622769,11.36515132,9.170180128,6.801887064,8.552779281,7.91716263,8.947673993,8.710710861,9.475793256,9.080966465,9.477193262,7.534074743,11.43977744,10.25254098,9.886329967
"3","GSM890316","control",7.918241523,8.999090948,9.586735996,6.983428252,8.259392853,8.257351219,8.518091107,8.387188124,12.37038846,7.972982574,6.379003254,13.08701531,9.051239185,7.512947024,7.153558702,7.894945562,9.33465456,7.697565851,13.17496129,10.00825621,5.838160524,9.708611141,9.447127415,8.780906672,5.793944458,8.485438843,8.557307242,6.049814812,5.84795276,7.852056086,6.647179589,6.226869885,10.01466973,6.06871811,8.225883813,8.514631452,6.895720281,14.47060084,8.030548218,6.835047534,9.073449199,7.13569516,9.913110447,9.727681953,8.755745087,7.744979569,7.909344918,8.377612913,7.698890619,6.276826228,8.559842448,8.525974853,8.07828695,5.890310614,11.69989382,8.985376997,13.26075136,8.869996022,7.369993637,5.650393102,8.183911203,6.969787485,8.387659537,7.941623296,7.827869601,7.790890997,7.368088042,6.761228774,10.53483073,8.357626355,8.461223916,6.617481506,5.724778948,6.950684444,8.799142914,6.320086999,9.729821868,9.225317015,10.45068488,10.03631426,7.81510737,8.242428661,12.07236703,6.684261338,7.634011803,6.309592829,9.477043604,8.812813489,6.405044058,6.341073441,13.27694434,7.014403952,8.836126585,10.67937591,13.25303578,8.11806179,6.630118056,8.294966185,6.883086868,13.16145339,7.15172722,8.467503683,8.081572646,7.746084308,8.346885212,10.01218016,9.660380681,8.370839776,8.69202491,8.678463791,6.667798952,5.797155178,11.07604261,6.631296299,8.621927842,10.2801011,7.829411828,6.984820312,7.099279165,6.300420542,9.215159257,10.8355325,8.556221329,8.713960671,11.17871707,6.431963881,7.334394921,6.327993427,7.840796624,6.56685643,8.419436284,10.56451423,6.71077821,8.265617844,7.510786875
"4","GSM890333","case",9.085379568,10.11065291,10.5382243,10.36458211,9.499156295,9.894219083,9.51481297,9.661385247,7.942846482,5.621927931,6.663971005,7.383472757,9.933155977,6.829363769,6.860484364,10.95698762,7.749762185,8.627904153,8.966582451,7.943682705,5.918081802,10.46324368,10.77141048,6.891199572,6.659898006,9.147317782,9.181543382,8.675465274,9.446496168,8.090467449,7.745703398,9.285248168,7.804572382,8.820203515,8.685667427,8.942006532,7.928505375,8.819776533,9.131463054,7.513114761,10.8461245,8.307408835,10.43822697,10.25479007,9.489069459,7.522402963,8.625892136,9.448507134,9.098205143,9.191587897,8.811731062,9.449215181,8.576861282,8.625480621,10.39264988,9.505559571,7.698970344,7.089219119,8.342831384,8.283156425,8.0221128,7.356640553,10.25362586,8.823050306,9.084824919,6.161063376,8.152692905,8.067926495,7.705753225,9.106805342,6.792006739,8.090153631,7.988508651,8.179596193,10.09206224,7.941705675,9.411224911,10.20133975,9.732347854,10.24262019,9.510646701,8.964539273,6.601359762,7.613810362,9.895053803,7.558706958,8.460187822,9.255840145,7.487229455,8.302628544,9.587030596,8.457852915,6.471020232,8.082920268,9.672260169,10.42726738,6.755645001,10.01994796,6.582723109,13.01752002,7.739213891,8.649624156,8.531094638,7.795875393,9.311160312,5.610003034,11.814417,9.456475841,9.190373327,7.730674965,7.798687618,7.429341137,9.926191673,8.338531831,9.037845924,10.09295691,7.812030858,8.635869764,10.49348694,7.123329872,8.726147821,10.4719289,9.585621902,8.135421238,10.05032625,8.864013058,8.847108855,7.5199043,8.537817224,7.378330997,9.624434,11.29949677,8.408313248,8.251935205,9.328085659
"5","GSM890381","case",9.314277316,11.33798123,11.43077198,8.949169513,11.15190743,11.32970205,10.37216354,11.72423191,6.374753057,5.838761486,6.695925959,6.116714828,10.85491806,5.757344897,6.818713281,10.35389203,6.096485473,9.019111229,7.689121858,6.26422272,5.93766421,10.31124215,10.76138953,6.395499526,8.343918372,11.50028096,11.03118907,9.162545405,8.924160983,11.17836915,7.203050617,8.794156204,6.463787022,10.6397399,11.24111663,8.436659446,8.380707044,9.631201201,10.92137954,9.278512216,9.779140884,8.098046491,11.67992451,12.28033625,10.39154221,9.937336124,9.861894916,8.235662628,10.74554364,9.026025496,10.87140497,9.885457521,9.590713353,7.790179893,7.879665323,9.563149888,6.743261069,6.395354739,7.874121449,8.839411422,9.443164413,9.550879204,10.1115666,10.00109459,10.936306,6.305850161,9.790593322,8.256653017,5.515545418,11.04644469,7.597814655,7.160037387,7.95931778,8.795077315,10.13430612,7.389690585,10.41016666,6.478880858,12.49390536,10.98365137,9.192822515,10.33616308,6.154630244,10.43574933,8.457852915,7.941432837,6.814865522,10.16041467,7.251259108,8.878245884,9.067245762,8.02618607,5.989271087,6.450510869,8.740362538,9.838970801,6.583383964,10.52939494,6.666844682,9.976755219,8.650522957,10.50737411,8.868348482,8.003353566,9.792246784,6.069275715,12.6282406,10.05228885,8.930518152,6.70696963,8.637654974,6.261377961,7.822572167,8.420981966,8.998785831,12.22315785,8.708095617,8.027053445,8.616194656,7.892607534,5.825006722,11.38531889,11.82003727,6.674393374,7.878593095,9.927862584,8.418183279,9.243179648,10.24936099,9.492744408,11.99904742,7.109133908,9.585621902,10.70789729,8.533035793
"6","GSM890374","case",9.9884189,10.831121,10.21691633,8.57443035,11.29165378,10.72434708,10.41811919,11.81181206,6.509411549,5.472063708,7.41189041,5.690148488,10.73732085,5.95465609,6.59815909,10.75684439,6.54762138,9.802066842,7.270807449,5.835126642,5.775775524,10.99514422,11.17130636,6.898281228,7.610983203,10.47655396,11.23122238,8.806255409,9.790593322,9.938169552,7.929057326,8.995576944,6.501921833,10.503524,9.889002707,8.582708258,8.927603322,8.852503582,11.20564815,7.804851134,9.836425566,7.949440912,11.0599835,12.29876536,10.96503024,9.860178928,9.791341833,9.106287929,9.39928869,9.328679895,10.51098466,9.649118829,9.881976162,7.940640979,8.558454269,9.670649368,7.344319188,6.165825372,8.985937865,9.769744449,9.662147111,8.117053064,10.54062603,10.05425641,11.10376112,6.595484738,9.455913537,7.732901934,5.872168687,10.01292473,8.837976999,7.892090935,8.910624379,8.630786947,11.13191478,8.184888283,11.59778722,6.664904664,11.84146982,10.62656201,9.937336124,9.503273247,6.191487378,9.249852535,8.872773971,8.596681117,6.720125838,10.3339897,8.730831471,8.960062494,9.139387343,8.819342433,5.891477592,6.473724205,8.236987176,10.25576804,6.739186719,11.21305091,6.431382094,10.8872094,8.599936235,10.32572064,10.29261576,9.681703989,10.07171061,5.651157508,10.26986604,10.31233649,8.897245948,6.775372234,8.679969725,6.150627711,6.058122966,7.855014282,10.36897307,11.45459986,10.34962112,8.472007364,11.58586328,8.148974607,5.826527163,11.88823976,10.08362597,7.485837828,5.597147923,7.531867682,9.049806184,8.832346828,10.30460578,8.809331787,12.41718973,6.600935929,11.59547108,10.00993205,9.24072809
"7","GSM890385","case",8.56823925,9.897619341,10.28625668,10.24695577,8.786707294,9.632816309,9.300378781,9.260480805,7.995562461,5.789501662,7.105453693,13.02820163,9.905577492,6.17341673,6.625859168,10.1919095,8.073124238,8.329092985,6.198747633,8.274233849,5.835851612,9.441205316,10.70937,7.223755352,6.457401822,8.784319135,8.962580913,7.563835526,7.987386308,8.763653938,7.934547535,7.998714396,6.372779928,6.962282671,8.472795964,8.928097571,9.143924017,6.644335104,8.889226591,7.670507628,8.9804722,8.051176506,9.733965028,10.90576887,9.468944623,8.546765265,9.922550823,9.409927757,9.036301098,7.866913042,8.40731044,8.862549792,9.607838898,7.633707155,9.600280324,9.252932696,8.754903416,7.240252016,7.92233194,11.28381573,8.701061235,7.036469401,8.948644679,9.481406781,9.276137227,8.473195404,9.001351446,8.907661059,5.705184049,9.103345318,6.721799606,7.805909308,7.107082996,8.101621424,10.19615937,6.374705627,9.884646706,9.507690097,11.2093868,9.700393071,8.305664029,9.316121873,13.43960191,6.910147209,8.100070591,7.036077776,6.811802041,10.34618664,7.677356122,7.971875816,6.847216795,9.877465951,5.951763034,8.560907703,9.474378277,9.816515213,7.671379957,9.477193262,6.228754425,11.04459923,8.937483845,7.998127892,8.238985164,8.589807491,9.195851774,9.661385247,11.47408487,10.40661239,8.938543178,7.119701872,9.711914168,7.988803769,9.662847274,7.102579937,8.349274036,11.96294203,10.37216354,9.084824919,8.847608656,6.329920758,9.405131575,9.838038634,9.69510661,8.462077201,8.672881552,7.101292891,8.354502159,7.993895301,8.073969196,6.514997538,11.59778722,9.698125563,6.351694858,8.449962289,8.781038532
"8","GSM890436","case",8.773575335,10.55902062,10.46324368,11.43077198,9.059022456,10.10277868,9.405131575,9.999096152,7.217660814,5.623828026,6.753821158,7.418939402,9.804640952,7.571198899,6.831250579,11.18907993,7.117119018,8.865477298,7.903266119,7.072670068,5.878976114,10.41578431,11.03950323,6.913556162,7.042031017,8.977454862,8.818372649,9.221566288,8.351991845,8.35630428,7.910414526,8.035740512,6.708020704,7.890726689,8.710710861,8.99716264,8.42467364,7.300900416,9.203571411,7.685026971,10.01588209,8.178226692,11.08359568,11.18194039,9.796289418,8.318764024,9.088110903,9.861894916,9.74782601,7.876751435,9.813053617,8.976965456,9.671438751,7.471825192,9.285248168,9.268959422,12.35764463,6.385669675,8.442826257,10.83728009,8.609267433,7.389351622,9.204171074,9.744397548,9.475793256,6.446377744,8.549224758,8.514518721,6.033771915,9.411962061,6.430916766,7.253941993,7.27172544,7.989072079,10.20245719,6.672156945,10.42965825,8.720854949,10.28949324,9.731499007,8.861142099,9.564571337,8.859253686,7.129414968,8.487120566,8.811269104,7.127428028,10.72994965,7.842115484,7.786337533,7.552105766,9.605605487,6.387068382,9.881199456,7.920706988,9.558063246,7.13487024,11.92848617,6.696081641,10.93475592,8.630786947,8.729515726,7.855264798,7.37782401,9.542415835,6.566265664,12.87207069,10.44286687,7.934260296,7.834770477,8.274233849,8.206577857,8.308755225,8.440508079,8.827196966,10.2265153,8.790024631,9.865482773,10.89493779,7.037863274,8.593862323,10.16547225,9.895876041,7.459100757,8.205916375,7.893884242,8.386234761,7.311496632,8.871797417,7.498638927,9.872276648,8.406626248,7.471015195,8.264503235,9.197015018
"9","GSM890309","control",8.593390482,9.0819355,9.353445592,6.995281719,9.417921158,8.628359643,8.416269312,9.317473199,12.97367658,7.27859585,6.259454871,12.20603237,9.351847975,8.100322573,6.719957681,9.072737981,10.49361526,8.104400158,13.12189946,10.17962431,5.747213274,10.51176518,9.354419092,8.820659702,5.698823414,9.355280583,9.298839464,6.474024058,5.903721734,7.667964018,6.778635099,6.343272916,9.890704837,5.967823749,8.047856355,7.944366088,6.897050679,14.25116683,8.235510355,6.325020128,8.917245901,6.817843075,10.04634849,9.388726663,9.381451063,8.039246649,7.548764886,7.996389358,7.328374227,6.521528615,8.182441789,7.769460766,8.057408483,6.076507828,12.22630555,9.571262375,12.38757796,6.94238995,6.821886446,5.946547446,8.003031937,7.246013522,8.8588939,8.955675854,8.604415227,7.682585626,7.620094078,6.386237639,9.563736596,8.168838166,9.95254515,6.692866022,5.920771445,6.501719093,8.567405386,6.522937344,9.035175739,8.104752103,10.92037826,9.557022752,7.23872569,9.067664919,12.43253718,6.700599868,7.496448747,6.356961419,8.723020123,7.768003218,6.696784131,6.720722191,13.38327939,6.90909756,8.431513202,8.074821013,12.90682803,8.200188636,6.765988767,8.211549962,7.16049962,11.95650705,6.700356912,9.364679837,8.34193088,7.30119832,8.031852796,8.519953035,9.893222345,9.258570445,8.094427764,8.477177881,6.537439634,5.729496231,9.304323077,6.380461937,8.656150444,10.06901522,6.335347133,6.39972354,7.964428643,5.9448583,8.693846046,10.39519968,8.844435999,6.644186533,11.64740119,6.453480922,6.897950672,7.751017695,7.903564468,7.24921124,8.765122849,9.079025204,7.984200102,8.279732652,7.352764223
"10","GSM890491","case",8.469343266,10.07482239,10.88012728,9.492020835,9.216886351,9.901346628,10.01203722,9.467521664,7.18218284,5.628346726,7.001023149,6.073832967,9.354470374,6.063167211,6.661945909,9.723561328,8.147040074,8.643235952,7.955889338,7.614044248,5.731328904,10.66383669,10.93185805,7.211533874,6.311183822,10.22539589,10.17862612,7.190455729,8.324825413,9.258163487,7.650530545,7.91716263,6.45935648,8.376276026,8.844770492,9.070541459,8.099510709,11.7449221,8.850128114,8.081056589,9.803807884,8.478176447,11.67254719,10.8872094,10.45747388,8.504190286,10.07380607,10.29368859,8.53465206,8.050600179,9.34067857,8.892624787,9.212203476,7.429341137,8.074832721,9.865482773,7.744197234,7.250676601,8.485981826,11.91137483,9.316121873,8.243566235,8.763203098,8.759942164,8.770777275,6.225351521,8.94056236,7.716733409,6.206103255,8.649173481,6.581628307,7.500591139,7.143365745,7.637991061,10.05908455,7.242587855,10.63574683,9.185713593,12.1920827,10.94721537,8.568646506,9.497074772,9.443866461,9.063413957,8.818372649,7.304696316,6.604770983,9.739648384,7.328361468,9.247993069,10.89178621,8.629947141,5.935777403,7.22290493,11.08359568,8.929114603,6.620987658,9.689355714,6.432577522,11.04283207,7.520509365,8.810830186,8.876656235,8.421304793,8.45711481,6.004797044,12.27309095,10.19717671,9.353092155,7.357321716,9.328085659,7.781362352,9.617736851,8.405534956,9.471483253,11.42872845,8.367009847,9.532567947,9.568092325,7.461184591,7.914636378,11.73473618,9.483486594,6.837012663,10.20768081,7.340407013,8.350306329,7.557185513,8.990951514,7.912154805,11.92848617,9.283442625,8.001300186,8.497611708,8.996155404
