lr_1,max_epochs_1,final_loss,max_loss,time_taken,epoch_final,final_select,experiment,undov
5e-04,500,-1.7354843616485596,3,2,0,1,1a,under
1e-04,500,-1.27077317237854,3,2,0,0,1a,under
5e-04,500,-1.735135555267334,3,2,0,1,1b,under
1e-04,500,-1.2707045078277588,3,2,0,0,1b,under
5e-04,500,-1.735135555267334,3,2,0,1,1c,under
1e-04,500,-1.2707045078277588,3,2,0,0,1c,under
5e-04,500,-0.9522137641906738,3,2,0,1,2a,under
1e-04,500,-0.5314149856567383,3,2,0,0,2a,under
5e-04,500,-0.9518465995788574,3,2,0,1,2b,under
1e-04,500,-0.5313422679901123,3,2,0,0,2b,under
5e-04,500,-0.9518465995788574,3,2,0,1,2c,under
1e-04,500,-0.5313422679901123,3,2,0,0,2c,under
5e-04,500,1.6773958206176758,3,2,0,1,3a,under
1e-04,500,2.131516218185425,3,2,0,0,3a,under
5e-04,500,1.677748203277588,3,2,0,1,3b,under
1e-04,500,2.131587028503418,3,2,0,0,3b,under
5e-04,500,1.677748203277588,3,2,0,1,3c,under
1e-04,500,2.131587028503418,3,2,0,0,3c,under
5e-04,500,0.89224773645401,3,2,0,1,4a,under
1e-04,500,1.274489164352417,3,2,0,0,4a,under
5e-04,500,0.8925063610076904,3,2,0,1,4b,under
1e-04,500,1.274540901184082,3,2,0,0,4b,under
5e-04,500,0.8925063610076904,3,2,0,1,4c,under
1e-04,500,1.274540901184082,3,2,0,0,4c,under
5e-04,500,2.8091981410980225,3,2,0,1,5a,under
1e-04,500,3.1438231468200684,3,2,20,0,5a,under
5e-04,500,2.80955171585083,3,2,0,1,5b,under
1e-04,500,3.1438841819763184,3,2,20,0,5b,under
5e-04,500,2.80955171585083,3,2,0,1,5c,under
1e-04,500,3.1438841819763184,3,2,20,0,5c,under
5e-04,500,0.8831161260604858,3,2,0,1,6a,under
1e-04,500,1.2364203929901123,3,2,0,0,6a,under
5e-04,500,0.8834692239761353,3,2,0,1,6b,under
1e-04,500,1.2364908456802368,3,2,0,0,6b,under
5e-04,500,0.8834692239761353,3,2,0,1,6c,under
1e-04,500,1.2364908456802368,3,2,0,0,6c,under
5e-04,500,1.896690845489502,3,2,0,1,7a,under
1e-04,500,2.190635204315185,3,2,0,0,7a,under
5e-04,500,1.897022008895874,3,2,0,1,7b,under
1e-04,500,2.19070053100586,3,2,0,0,7b,under
5e-04,500,1.897022008895874,3,2,0,1,7c,under
1e-04,500,2.19070053100586,3,2,0,0,7c,under
5e-04,500,-0.8830125331878662,3,2,0,1,8a,under
1e-04,500,-0.537844181060791,3,2,0,0,8a,under
5e-04,500,-0.8826806545257568,3,2,0,1,8b,under
1e-04,500,-0.5377781391143799,3,2,0,0,8b,under
5e-04,500,-0.8826806545257568,3,2,0,1,8c,under
1e-04,500,-0.5377781391143799,3,2,0,0,8c,under
5e-04,500,2.1197636127471924,3,2,0,1,9a,under
1e-04,500,2.421125888824463,3,2,0,0,9a,under
5e-04,500,2.1201014518737797,3,2,0,1,9b,under
1e-04,500,2.421191930770874,3,2,0,0,9b,under
5e-04,500,2.1201014518737797,3,2,0,1,9c,under
1e-04,500,2.421191930770874,3,2,0,0,9c,under
5e-04,500,-0.027670860290527344,3,2,0,1,1a,over
1e-04,500,0.05389571189880371,3,2,0,0,1a,over
5e-04,500,-0.027670860290527344,3,2,0,1,1b,over
1e-04,500,0.05389571189880371,3,2,0,0,1b,over
5e-04,500,-0.02755212783813477,3,2,0,1,1c,over
1e-04,500,0.05392122268676758,3,2,0,0,1c,over
5e-04,500,1.5277515649795532,3,2,0,1,2a,over
1e-04,500,1.6117501258850098,3,2,0,0,2a,over
5e-04,500,1.5277515649795532,3,2,0,1,2b,over
1e-04,500,1.6117501258850098,3,2,0,0,2b,over
5e-04,500,1.527828812599182,3,2,0,1,2c,over
1e-04,500,1.6117665767669678,3,2,0,0,2c,over
5e-04,500,1.4292469024658203,3,2,0,1,3a,over
1e-04,500,1.473084807395935,3,2,0,0,3a,over
5e-04,500,1.4292469024658203,3,2,0,1,3b,over
1e-04,500,1.473084807395935,3,2,0,0,3b,over
5e-04,500,1.429438829421997,3,2,0,1,3c,over
1e-04,500,1.47312331199646,3,2,0,0,3c,over
5e-04,500,1.167402267456055,3,2,0,1,4a,over
1e-04,500,1.2457560300827026,3,2,0,0,4a,over
5e-04,500,1.167402267456055,3,2,0,1,4b,over
1e-04,500,1.2457560300827026,3,2,0,0,4b,over
5e-04,500,1.1674535274505615,3,2,0,1,4c,over
1e-04,500,1.2457735538482666,3,2,0,0,4c,over
5e-04,500,0.5631070137023926,3,2,0,1,5a,over
