id,label,acta2,ap3b1,atp6v1f,c8orf33,cap2,chst4,creb3l2,ctnna1,dap3,dctn2,fam20b,gmfb,gnpat,hgs,hsph1,kpnb1,lage3,lsm2,nol7,parp1,parp12,plod3,plvap,polr2g,psmd4,ptcd1,ptprf,sae1,slc41a3,tfrc,thy1,vwf,znf207
GSM890239,control,8.701846794,8.534573331,9.287554499,7.670303275,7.458822729,7.275093225,7.835032134,9.835615504,8.891861198,8.825678519,8.125434507,8.662613447,7.958916207,7.722579718,8.148628013,8.481023699,8.543655858,9.105388798,9.005882674,8.940725052,7.471509056,8.281843859,6.929984491,9.463530458,6.334663941,7.6833952,8.627256176,9.38563915,7.536938139,7.970381618,6.222713492,7.856023181,8.092600442
GSM890265,control,9.04027277,8.858310162,9.59378497,7.494693452,7.20514833,7.813572854,8.003741503,9.78271588,8.865662112,8.728673451,8.063641748,8.616184525,7.995717505,7.916028846,8.525974853,9.014238287,8.433797257,8.729326863,9.333742063,9.106835719,7.710218237,8.550740916,6.716237443,9.100243908,6.62284049,7.653020886,9.000499774,9.387958412,7.403151634,8.641857125,6.547844226,7.577812847,7.98110164
GSM890244,control,9.33465456,7.978472348,8.729876543,7.487000008,7.118594699,8.130996195,7.983855389,9.519341805,8.407315973,8.261868666,8.077535671,8.557307242,7.641501639,8.557799331,7.657438744,8.616184525,7.812990818,8.834257718,9.477937708,8.685879484,7.483052823,8.157892949,6.809095699,8.805746367,6.941946669,7.439176467,10.30761627,8.976055418,7.733598033,8.998474208,5.889919719,7.795531884,7.603698849
GSM890257,control,9.392945022,8.183911203,9.372151607,7.567714827,7.350579905,8.748545394,7.7938014859999996,9.968843365,8.429651898,8.790677451,8.039246649,8.999722033,7.650656641,8.290320495,7.642634854,8.72747666,8.188935186,9.546053475,9.218111309,8.876848674,7.410004822,8.123904861,6.739754207,9.120806131,6.415128094,7.914393365,9.125276635,9.424304441,7.942626371,7.664075835,6.205995501,8.841981227,7.908665466
GSM890268,control,9.594674314,8.449908757,9.005882674,7.541286934,7.053174817,7.407978154,8.285252574,9.64092858,8.63006817,8.586197314,8.318507544,8.423656971,7.656924894,8.425035751,7.98110164,9.219697679,8.15047282,8.965203177,9.698094626,8.941373432,7.119541492,8.409080379,6.981820122,9.175541227,6.742434719,7.951405494,10.49512228,9.479718704,7.921956093,7.527964991,5.926930735,8.157892949,8.008237394
GSM890311,control,9.798595054,8.335297889,9.490611909,7.368281355,7.05492096,8.818837318,7.935124051,9.324198289,8.669735285,8.761483475,7.781387834,8.451339987,7.927505323,7.780513561,7.816850308,9.14386948,8.389993988,8.974685891,9.190987922,8.711635356,7.201453927,8.064350156,6.60796741,9.291403568,6.490669365,7.195601471,8.950592731,9.308500174,7.540072018,7.583423985,6.848057957,8.6097294,7.733598033
GSM890316,control,8.76029026,8.377612913,9.167223803,7.852056086,6.983428252,8.461223916,8.514631452,9.708611141,8.812813489,8.518091107,8.07828695,8.242428661,7.014403952,8.485438843,7.734711235,8.985376997,8.223397385,9.073449199,8.875692383,9.051239185,7.80878267,8.755745087,6.761228774,8.999090948,6.379003254,8.022497221,10.03631426,9.586735996,7.368088042,8.487887615,6.049814812,7.733900553,7.918241523
GSM890185,control,9.568346757,8.165407488,8.728673451,6.737797827,6.828476532,7.702506482,8.713960671,9.375551277,9.132714875,8.43105436,8.370367042,7.882946873,7.369616836,8.101069102,7.920069378,9.166412455,8.401287042,8.142707766,9.241058259,8.948738654,7.05049339,8.585240589,6.913368929,9.101094381,6.606994524,7.734175749,9.140840616,9.255264439,7.515033647,8.724647787,5.862821438,7.202994235,7.692986436
GSM890290,control,9.121612821,8.3451054,8.839272096,7.831718407,7.375134843,7.629913599,8.06893563,9.737539236,8.613442641,8.564892089,8.173926602,8.225457725,7.744705479,8.621927842,8.232327683,8.916617161,8.196196716,8.985376997,9.551514484,8.710011601,7.285877674,8.411653816,6.608226313,9.210560062,6.547103222,7.909633828,10.38596674,9.51656135,7.890148411,8.138189505,5.71203101,8.251529836,7.936733616
GSM890314,control,10.06510562,8.683509852,9.512806516,7.698102647,7.60979914,9.180274122,8.109670084,10.66816394,8.54000829,9.473530646,8.229724025,9.007967332,8.187389494,8.537959246,7.996061518,9.098033707,7.70968937,9.565536996,9.314231247,9.043841871,8.150852241,8.76330032,6.707036862,8.995095566,6.628304866,7.911118445,10.60365224,9.78271588,7.793196655,10.00825621,7.608499999,8.737290341,8.550740916
