ptprf,ctnna1,znf207,psmd4,dctn2,acta2,atp6v1f,gnpat,vwf,plod3,polr2g,gmfb,nol7,fam20b,ap3b1,hsph1,tfrc,parp1,dap3,thy1,kpnb1,lsm2,hgs,creb3l2,cap2,sae1,c8orf33,parp12,ptcd1,lage3,slc41a3,chst4,plvap
7.799,7.026,7.151,8.993,8.211,9.162,8.243,9.341,6.133,7.466,7.281,5.832,8.854,5.846,4.361,7.193,9.03,7.103,8.207,4.762,8.744,5.139,6.773,8.684,5.661,7.973,4.901,6.569,5.885,5.587,5.216,4.086,6.828
7.437,7.647,7.039,9.277,8.859,8.083,8.1,9.37,5.045,6.821,7.39,5.443,10.033,4.878,3.976,7.992,10.171,7.464,8.595,3.588,8.665,6.01,6.112,8.236,4.255,9.186,4.638,7.711,5.923,6.744,5.603,3.834,4.809
7.492,7.081,7.749,8.549,7.889,9.236,7.895,8.435,6.349,7.319,6.76,5.034,8.685,5.553,4.036,7.42,8.25,6.074,8.196,5.248,8.016,5.545,6.877,7.353,4.887,6.96,5.958,7.244,5.845,6.169,5.101,4.203,7.556
6.51,6.664,7.136,8.294,7.972,8.67,7.955,8.089,4.496,6.792,6.588,3.762,8.302,5.482,4.18,7.66,7.598,5.698,7.494,3.991,7.843,5.093,6.755,6.819,3.812,6.152,5.12,5.804,5.73,5.319,4.981,5.186,4.643
6.623,7.526,7.433,9.567,8.751,10.309,7.592,10.05,7.069,7.608,7.847,5.455,9.437,5.19,5.548,9.014,8.345,6.965,8.748,6.075,9.439,5.596,7.529,8.15,6.3,6.961,5.61,6.932,5.738,7.491,5.767,3.88,4.642
6.803,4.961,5.905,8.162,7.655,5.582,7.868,8.061,4.254,6.737,6.369,3.421,6.854,5.075,4.512,6.323,7.978,5.564,6.719,5.036,7.885,4.995,6.754,6.947,4.392,5.147,4.425,6.145,5.02,5.009,4.796,4.376,4.15
6.819,6.993,7.604,8.305,7.84,8.308,7.723,8.58,5.346,7.023,6.857,4.342,8.284,5.632,3.941,7.558,8.143,5.955,7.794,4.231,7.958,4.636,6.389,6.768,4.544,6.243,5.02,6.044,5.295,5.774,5.365,5.243,4.217
7.182,6.403,6.36,8.503,7.659,7.906,7.703,8.042,4.278,7.263,6.226,3.482,7.716,4.847,3.896,7.273,7.714,6.09,7.747,3.899,8.378,5.286,6.978,6.785,4.708,6.024,4.842,6.071,5.136,5.321,4.671,4.768,4.104
7.62,7.233,8.112,10.186,8.134,10.383,8.909,8.936,5.619,8.554,7.425,4.592,9.675,6.91,4.642,8.113,8.464,6.468,8.439,5.817,9.46,5.949,8.848,8.657,8.649,7.644,6.602,7.867,6.731,5.437,5.592,4.077,6.473
7.952,5.838,6.007,8.083,7.806,7.78,7.235,8.309,4.549,7.619,5.945,3.685,8.102,4.682,4.984,6.407,7.205,5.188,6.833,3.999,9.023,4.233,7.254,7.191,3.976,5.435,4.772,6.111,5.52,5.696,5.151,5.651,4.429
6.779,6.717,6.848,8.343,7.925,8.962,7.525,8.287,4.559,7.193,6.579,4.228,8.164,4.975,4.125,8.172,7.686,5.764,7.358,3.848,8.0,4.488,6.894,7.16,3.925,6.123,4.962,6.585,5.419,5.533,5.036,6.324,4.104
6.269,7.06,7.072,8.529,7.005,7.752,7.829,8.533,5.011,7.683,7.379,4.586,8.256,5.198,4.181,7.705,6.784,5.628,6.821,3.768,7.587,4.203,6.636,7.205,4.632,5.796,4.67,5.667,5.191,5.333,5.089,4.741,4.338
6.617,6.502,7.773,9.38,8.353,7.376,8.284,9.188,6.36,7.931,6.772,5.569,8.773,5.53,4.505,8.521,8.415,7.218,8.144,3.655,9.012,5.243,7.436,8.063,5.455,6.959,5.542,8.192,6.145,5.646,4.61,4.24,6.661
7.007,6.642,6.875,8.242,7.762,8.019,7.44,8.397,4.255,7.495,7.303,4.199,8.22,5.678,4.037,7.613,7.836,6.083,7.473,3.891,8.179,5.329,6.959,7.241,4.233,6.229,5.226,6.019,5.341,5.928,4.938,5.242,4.025
7.295,7.054,7.339,8.383,8.202,8.31,7.812,8.383,5.179,7.31,7.281,3.874,8.097,5.203,4.144,6.935,10.164,6.51,8.097,3.775,8.214,4.593,6.635,5.853,4.453,6.503,5.365,6.343,5.759,5.649,4.797,4.828,4.551
6.669,6.742,6.985,8.407,7.853,8.241,7.482,8.346,4.731,7.076,6.489,4.361,7.788,5.358,3.797,7.771,8.139,5.898,7.534,3.974,8.283,4.965,6.965,7.371,4.486,6.305,5.024,5.645,5.212,5.659,5.09,5.63,4.682
6.705,8.719,8.46,9.725,8.15,6.971,7.866,10.084,6.086,7.146,7.032,5.627,9.652,6.495,5.413,8.495,7.679,7.44,8.458,3.813,8.584,6.483,8.388,7.504,5.655,7.313,5.467,6.379,5.316,6.718,6.374,4.061,4.621
6.474,7.223,7.415,8.392,7.768,9.292,7.906,8.494,5.957,7.565,7.087,4.396,8.111,5.338,4.259,7.255,7.486,5.784,7.579,4.423,8.405,4.82,6.663,6.965,4.429,6.298,5.28,5.941,5.367,5.416,5.022,5.355,4.891
6.317,6.111,6.493,8.425,7.474,8.707,7.712,8.389,4.532,7.281,6.717,3.397,7.767,5.053,4.575,6.724,6.744,5.952,7.672,4.277,8.287,4.926,5.631,6.893,4.278,6.519,4.397,6.152,5.004,5.091,4.926,5.097,4.434
6.523,7.01,7.339,8.092,8.056,8.853,7.93,8.417,4.242,7.754,6.831,5.053,7.979,5.304,3.951,8.195,7.759,6.337,7.548,4.357,8.38,5.13,6.872,7.222,4.351,6.909,5.107,6.906,5.387,6.164,5.112,5.866,4.635
