"","id","label","acta2","ap3b1","atp6v1f","c8orf33","cap2","chst4","creb3l2","ctnna1","dap3","dctn2","fam20b","gmfb","gnpat","hgs","hsph1","kpnb1","lage3","lsm2","nol7","parp1","parp12","plod3","plvap","polr2g","psmd4","ptcd1","ptprf","sae1","slc41a3","tfrc","thy1","vwf","znf207"
"1","GSM890141","control",9.684583831,8.63112632,9.393770532,7.796717331,7.137438169,8.435123096,8.228407832,10.00586357,9.271543761,8.828807972,8.045974003,7.99001672,7.962728728,8.202533983,8.489278557,8.579425005,8.554327542,9.136390106,8.679046292,8.822504663,7.402514058,8.61238637,6.655643817,9.628321666,6.769430275,7.650147629,7.942626371,9.292282221,8.008542938,8.256049464,5.919705868,8.485438843,7.921956093
"2","GSM890358","case",9.505559571,9.57827484,10.63702303,9.323694033,9.779140884,6.567522646,8.985937865,10.91029193,9.557304957,9.918976451,8.455221867,9.709622952,8.480124032,9.285825284,10.03783692,9.297331749,8.978986156,10.17954565,9.935655465,10.40774494,9.838970801,10.18772989,7.332757573,10.55778689,6.702128238,8.788634914,9.600280324,10.75684439,8.421304793,10.60047995,7.838210463,10.17862612,8.946173721
"3","GSM890199","control",10.2213111,8.803357579,9.645377442,7.749585059,7.187612703,7.881668661,7.871986262,10.25883571,8.953210903,8.837394797,8.209509766,8.812813489,7.630710227,8.358092207,7.655108879,8.865662112,8.110513502,8.488811971,8.991606277,9.573410964,7.753237607,8.666989008,6.938334893,9.027642561,6.40723133,7.619271282,9.534878913,9.309303446,7.668479002,10.76813572,6.621237325,8.102177397,8.165407488
"4","GSM890370","case",10.06973867,9.117917721,10.21393392,9.95015038,10.84761875,6.377739743,8.347543134,10.53700155,9.389103273,10.156343,9.071071403,10.38818922,9.937336124,10.02749966,9.28872537,9.981236072,8.622017139,11.6335507,11.00820406,10.60699027,9.769744449,9.196465837,8.201070718,10.72579822,6.649328586,8.411247732,9.573966386,10.45972174,8.289323845,11.461201,8.114594298,9.81739085,9.870483452
"5","GSM890172","control",10.1853909,8.901018009,9.701246018,7.70968937,6.977640607,7.408197461,8.454871277,10.14624438,8.914600991,8.818320519,8.600810797,7.904500172,7.582947881,8.83049891,7.962728728,8.842588606,8.085154839,8.898384695,8.921915205,9.042470978,7.641501639,9.014238287,6.877324215,9.429533922,6.522271056,7.982141624,9.608984923,9.347590156,8.06893563,6.771106548,6.110431023,9.64092858,7.917598422
"6","GSM890317","control",8.91134297,8.59447462,9.308500174,7.698890619,7.533498,8.275655059,7.761937869,10.32193583,8.921193007,8.828148202,7.933413989,8.552336036,8.042600641,7.88200208,7.899075319,8.546211003,8.112392728,9.382355028,9.307658775,9.107531882,8.281843859,8.706450895,6.72114695,9.319024367,6.731756511,7.569718437,9.38945378,9.558005946,7.594242293,9.087261254,6.380290255,8.719036886,8.400352459
"7","GSM890552","case",11.11469775,9.758187148,9.374536412,8.339310953,10.76285692,6.606814153,8.403315193,10.9666783,9.711914168,9.42134586,9.022359548,10.31568744,9.143924017,9.815709164,9.313005083,10.11937551,9.276137227,10.00993205,10.43574933,9.729919859,7.795147647,8.599936235,7.71338091,9.912742033,6.863263902,7.950882529,10.36784227,10.44667315,8.71949929,8.061924003,8.289323845,10.90258434,8.703386579
"8","GSM890517","case",11.42872845,8.967644815,10.63837049,8.5864113,10.71901132,7.364679935,9.595852193,10.98365137,10.22755453,9.528371434,9.519060664,10.26566936,9.550879204,10.2179979,9.263475659,9.859357861,9.437901924,9.5019253,10.56437088,10.04645201,8.734450291,10.42965825,7.310337296,10.29594093,6.539073939,8.981934019,11.00021918,11.19288413,8.976485723,10.76285692,8.434771918,9.761475531,8.760896878
"9","GSM890398","case",10.24821851,8.990951514,10.15929159,8.542142292,8.666911905,6.475880585,9.571732053,10.12729709,9.715927082,9.550879204,8.341348137,8.944616101,8.389181776,8.318381136,8.901721353,9.649118829,8.9435506,8.964090278,9.339270387,9.584194722,8.376688414,9.802066842,8.612381275,9.784870297,6.741706154,8.302628544,10.66128784,10.2392634,7.992464188,9.710395423,8.005115503,10.42965825,8.72218383
"10","GSM890494","case",11.97775108,9.427932909,10.35625859,8.760406022,10.25043392,6.605068088,8.419604223,10.57916046,9.055247987,9.882801443,8.871364762,9.74034437,8.340683178,9.362099798,8.655186386,9.639003151,9.028192771,10.20768081,10.37769002,10.11937551,8.323721644,9.993781454,7.575007633,9.549409331,6.639732365,8.731750804,11.01471458,11.01311161,8.98536565,11.03616253,7.796375918,9.330552942,8.606258129
"11","GSM890486","case",13.20112053,9.644465153,11.11469775,8.42467364,8.593096077,6.773605784,8.80751714,10.81932758,9.845767357,9.68407221,7.882042918,8.871364762,8.524423807,8.383581704,9.492744408,9.209918575,9.34067857,9.862758153,9.762309046,9.708122033,8.011707146,9.706538963,8.610791895,10.18365228,6.298416567,8.052079253,8.902191142,10.69074261,8.425430768,8.842289435,10.69983613,10.68640305,9.090249155
"12","GSM890245","control",9.196191107,8.049900736,8.840639444,7.422044446,7.174435379,8.161426318,7.77150805,9.631351014,8.289163267,8.342910519,8.053492179,8.848258568,7.670303275,8.389993988,7.640255315,8.717864905,7.830576217,9.118690123,9.549718294,8.799142914,7.368088042,8.107717342,6.83831685,8.876848674,6.436615041,7.389460999,9.856284488,9.048642233,7.786489219,8.657248381,5.771410689,8.567405386,7.725686837
"13","GSM890144","control",10.04103014,8.460727548,9.60123684,7.789437241,7.242815735,9.024000193,8.456904088,10.2900328,8.349587074,9.03380443,8.25981408,8.45778832,7.794637061,8.823783492,7.972982574,9.132714875,7.737988603,9.100243908,8.679589993,9.014238287,7.929700189,9.101094381,6.678022078,9.261872375,6.593003627,8.152405167,9.603139733,9.544194816,7.98937962,7.549001158,6.547889132,8.854173679,8.112392728
"14","GSM890288","control",10.85679438,8.383468502,9.261872375,7.676282358,7.265552398,8.733970636,7.871384627,9.61185118,8.465021528,8.579874196,8.067064865,8.565364322,7.821493813,8.247311357,7.579261297,8.5405678,8.31136169,9.244185848,9.753772409,8.849554459,7.430037884,8.255227152,6.872656115,9.409276415,6.734457335,7.811544652,9.304323077,9.198374799,8.074072975,7.925267355,6.552234459,9.138519405,7.929700189
"15","GSM890229","control",9.839242274,8.202929836,9.272317975,7.660646449,7.460546261,8.115084311,7.931894508,9.39886211,8.54410783,8.806960358,7.814824024,8.807569254,7.741158723,7.938997227,8.143530748,8.852206805,8.140853564,9.171000756,9.784932351,8.613442641,7.350861223,8.194573498,6.516316084,9.161971353,6.900689077,7.394853266,9.160467168,9.282085391,7.899075319,8.641295502,6.352843999,8.941373432,7.779094087
"16","GSM890551","case",11.57026301,9.13654017,9.705714175,8.368066801,11.28582595,6.412363386,9.561658097,10.5382243,10.17252477,9.492744408,8.929544152,9.331148506,8.981934019,9.006942648,8.44803284,10.64910066,9.555173298,10.03506923,11.07207845,10.12145684,8.578070933,9.507026306,7.254528203,10.23501963,6.542820395,8.064031595,10.59655034,10.7754629,7.811507828,9.709622952,8.875696183,9.570169457,9.232198998
"17","GSM890448","case",10.60310947,9.407821316,10.42186249,9.529083068,8.970251965,6.707147931,8.916156107,10.37879473,9.32297362,10.07975759,8.745376645,9.695885593,8.775967089,10.18555986,10.01101833,10.46812281,10.09109548,10.85925995,11.49158404,10.32572064,9.57901003,10.20874874,7.082644453,10.32004283,6.615884418,12.12762429,9.653268646,11.60971576,8.659064015,11.32535917,7.886606725,9.17076577,9.57324471
"18","GSM890153","control",8.874381538,8.552336036,9.373851711,7.495578762,7.21525324,7.773622976,8.164200312,9.857450142,8.916617161,8.677962283,8.045640063,8.45825791,7.823908657,8.036058373,8.176299504,8.493826209,8.377612913,8.966603771,8.895240602,8.886255368,7.743652638,8.480560716,6.739386919,9.106053076,6.327626122,7.693275004,9.540206207,9.533909452,7.569227378,8.921193007,5.975752425,7.641234107,7.829772074
"19","GSM890546","case",9.760576056,9.795540627,10.06785944,8.944071036,9.992021782,6.574333544,9.306107373,10.86538529,9.914442915,10.5382243,8.913115496,10.18555986,8.697028195,9.832168913,8.337123356,10.20969313,9.285825284,10.45144439,10.97903212,10.73425668,8.562563462,8.804450877,7.303778944,10.41349045,6.677629962,8.394247019,10.96344693,11.59296765,8.818879304,10.96987288,7.639852375,8.559264791,9.229118751
"20","GSM890310","control",8.584693121,8.513118571,9.284393027,7.560417618,7.01094897,7.855735657,7.859796605,9.327337874,8.788177608,8.805746367,8.059676811,8.434667881,7.770581041,7.842019373,8.121705516,9.124596058,8.384911566,8.684655672,9.101913377,8.85154082,7.4191069,8.190993272,6.603873508,9.092398069,6.752914629,7.627867102,9.419726374,9.166412455,7.384350188,8.640741402,6.498468402,8.659855079,7.862292045
"21","GSM890330","case",9.441205316,9.833845163,11.20374803,8.639005806,8.239666311,6.584602191,8.98536565,10.49860726,9.802917935,10.01688781,9.480039796,8.45179049,8.613284842,10.17454361,9.88705698,9.453109158,10.83728009,10.59655034,9.421931613,10.75119344,8.818372649,9.809576506,8.31395742,10.23283421,7.162630295,8.813539649,9.952858816,10.82076216,8.256967397,10.07482239,7.460076711,10.41466038,9.198811564
"22","GSM890334","case",10.01994796,10.29261576,10.51819957,9.264601727,9.813894145,6.475099224,9.896732811,10.91180184,10.48392155,9.887944895,9.13881831,9.982078945,9.996329729,9.63192649,8.656100023,9.818184033,8.82398778,10.87267492,10.48142686,10.94553638,8.437717944,9.114597614,7.56157923,10.2634491,6.82039431,8.928652232,10.51218108,12.10472706,9.186947905,9.939103886,8.461716119,9.141634925,10.02287647
"23","GSM890210","control",9.374715987,8.865662112,9.345223142,7.415371879,7.139437471,7.868596398,8.32955503,9.73956007,8.970658026,8.834869411,8.241641958,8.344687284,7.985260792,8.044589197,8.32567737,9.241830781,8.60339704,8.610799403,9.012937677,9.031106914,7.482362735,8.542175545,6.432561356,9.422531947,6.578080065,7.678667105,9.543192216,9.481425298,7.64626364,9.366314016,6.21692161,8.100671086,8.166179151
"24","GSM890512","case",8.836547977,8.557228104,9.653634452,8.743996876,8.740721469,6.787365294,8.215046085,10.03128903,8.337123356,9.180320712,9.449215181,10.25362586,7.564229989,10.22336418,7.892090935,10.25905866,8.074832721,10.16041467,9.824715613,10.12828021,8.422463401,9.769744449,7.00875112,10.38117173,7.368057161,8.70382499,10.95217476,10.35625859,8.966038337,8.678647857,7.836143547,7.813056767,9.530413562
"25","GSM890296","control",9.525025629,7.928462131,9.608022309,7.651427661,7.124581456,7.626638362,7.772410713,9.826450811,7.857877964,8.668694949,8.095152267,8.672610387,7.073159144,9.212971214,6.76480761,9.714709775,7.425972039,9.543192216,8.806960358,9.085727787,8.384417233,8.799142914,6.948874058,9.580258706,6.910766214,8.312268528,9.4187442,9.137799202,8.034668863,8.500193353,6.187088814,8.729876543,8.051699261
"26","GSM890459","case",11.82003727,8.767175654,10.29368859,9.62363056,8.790466624,6.952563761,8.925179211,10.67602347,8.762293691,9.777490732,8.831347389,9.836425566,8.176977375,10.03041509,8.476605192,9.614835344,8.016741509,11.14471895,9.328085659,11.24111663,10.07683122,9.533254561,8.68962819,10.43822697,6.610104043,9.70888673,10.13030144,10.69590665,8.023609064,9.952858816,9.437174781,11.84677993,9.256990676
"27","GSM890184","control",8.820659702,8.222625627,9.168020168,7.760536501,7.261519541,8.784428098,7.665336012,9.995963848,8.58826844,8.715719599,7.854416913,9.338741831,7.895566551,7.724232707,7.983175514,8.855367162,8.022848544,9.504239895,8.744321149,9.093857592,7.835615409,8.340688083,6.579086916,9.196191107,6.473893129,7.727942946,8.72081057,9.255264439,7.458194976,8.263881884,6.744985064,8.812813489,8.570463021
"28","GSM890201","control",8.174646404,8.403153843,9.257777416,7.716462734,6.896276839,7.810574483,8.160206401,9.410971394,8.83049891,8.645111453,8.074821013,8.594968478,8.10663145,7.624170614,8.621927842,8.505918903,8.580438222,9.124596058,8.729326863,8.888024718,7.480355007,8.292839522,6.593376842,9.267570152,6.323896228,7.680696727,9.196873054,9.177870841,7.469556515,8.38623121,5.893713066,6.886790313,7.831718407
"29","GSM890190","control",10.32628508,8.66372963,9.520281845,7.078123333,7.376094289,8.019550418,8.30577796,9.66997667,8.913974037,8.741392932,7.875692674,8.725252127,7.781997468,7.785562344,7.971013995,9.004447613,8.326551219,8.87308685,9.315894875,9.003772138,7.292357765,8.51163436,6.743693693,9.293065537,6.634926381,7.16007983,8.384417233,9.376457191,7.797815663,8.515111982,6.097733382,7.991047948,8.068555282
"30","GSM890556","case",9.841527565,9.809576506,10.45512568,8.891128301,9.34067857,6.432388473,9.117387108,10.95051425,9.66680408,10.04070565,8.930518152,9.415951279,8.078417345,9.319806685,8.728590435,9.668461384,9.486854881,10.5343241,10.44667315,9.795540627,8.708977189,9.974887257,8.037875316,10.5854947,6.591922195,8.614163389,11.03616253,11.30336555,8.383959376,10.21490163,8.397911967,8.959026242,9.054704729
"31","GSM890336","case",11.75030909,9.247416861,10.23177609,9.183955767,9.849223546,6.844594997,8.617411459,11.10376112,9.613336087,9.827177251,8.713373497,10.14719852,9.547274856,9.468284525,8.947673993,9.46393957,8.489592939,10.24821851,9.850004798,10.36238293,9.448507134,10.32921039,8.699241201,10.19923177,6.582440912,9.108956457,10.80453925,10.65733789,8.216317502,9.937336124,8.759045455,11.6285957,9.083771095
"32","GSM890414","case",10.66785261,9.95015038,11.09712279,9.702549439,10.69209142,6.780265313,9.528371434,11.16061184,10.51345202,10.4123401,8.558860786,9.039524839,8.383959376,9.5019253,9.465380423,10.28420756,9.996329729,10.23501963,9.81472355,10.70123018,9.825512282,10.66656716,7.153610613,10.80735408,6.958004221,9.059541919,9.298012256,10.54438181,9.653634452,11.13370952,7.695484851,8.453316799,9.464720581
"33","GSM890322","case",10.24313195,9.572462121,10.4404247,8.957007975,9.264055406,6.657270679,9.089186767,10.58229557,10.05804138,9.709254841,9.052782365,8.610985111,8.695278139,9.05818686,8.591657229,8.767776356,8.897245948,9.833444558,8.957007975,9.325597905,8.66373952,9.546932642,8.701284027,10.27189208,6.62934027,8.480316801,8.668847035,10.37938232,9.048711193,9.026558843,8.343008564,10.81023762,8.642825967
"34","GSM890234","control",10.06901522,8.598144801,9.4312022,7.47442427,7.379767062,7.748723624,8.339793572,9.948621982,8.568506457,8.873743538,8.157530318,8.56952074,7.65825905,8.675819744,8.269105045,9.086534221,8.105106028,9.118008266,9.840329621,8.880514696,7.202536989,8.566377725,6.457342602,9.252077856,6.553796947,7.978748776,9.967553963,9.820760515,8.15047282,8.681235111,6.593692376,8.139396477,7.941990466
"35","GSM890263","control",9.587648466,8.465472058,9.251318866,7.415371879,7.13128998,7.929700189,8.034030314,9.460670815,8.672610387,8.585767266,7.958237266,8.221833284,7.653020886,7.814513143,8.632780442,8.520966228,8.442671144,8.806384201,9.14533822,8.82317539,7.555512452,8.182441789,6.666696448,9.183949902,6.624758811,7.607230568,8.982088191,9.218977709,7.565319955,9.180274122,6.337378821,8.043269208,7.965768015
"36","GSM890537","case",10.60699027,9.417926506,11.76846591,9.701843708,8.123013689,6.727262087,9.6863744,11.09712279,9.766470397,9.781570393,9.635123405,8.616606582,8.120497487,10.14319281,8.85588156,9.924371922,9.247993069,10.34618664,10.3667271,10.6559815,9.836425566,10.95698762,7.643429351,10.78150297,6.940758717,9.559406485,10.69341005,11.21686545,8.825296822,11.54988602,8.940981506,8.493415597,9.223935846
"37","GSM890411","case",10.95864557,9.882801443,10.54316728,8.481669052,8.876171002,6.776272089,10.30669014,10.26452321,10.53300699,9.648324342,9.475793256,9.042741492,9.835540896,9.15826924,8.457476236,10.10957392,9.171965237,10.44412925,10.58295929,10.75119344,7.970708297,9.30668638,7.663162044,10.32224097,6.619556276,8.476201948,10.48142686,10.75684439,9.262882809,10.39385152,8.139433455,8.755770028,9.105191304
"38","GSM890219","control",10.46644261,8.617277754,9.356153565,7.572315241,7.384540827,8.067773276,8.292396066,9.574382836,8.336570586,8.965203177,8.171463413,8.658279258,7.703953817,8.54410783,7.638170756,9.305992647,7.859796605,9.068444982,9.787159745,8.824455702,7.208605536,8.3607768,6.921342776,9.127539721,6.531010321,7.823908657,10.15571459,9.621586809,8.048238057,8.885529277,6.18823918,9.759410329,7.779948682
"39","GSM890509","case",9.995507031,9.319806685,9.957428518,9.06066631,9.784870297,6.310735279,8.713373497,10.62030276,9.529083068,9.380418261,9.25233875,9.975768856,8.588933042,9.956506218,7.544031878,10.20467131,9.184561661,10.08459463,10.05136213,10.78150297,9.526209997,9.093103278,8.111847842,10.28420756,6.862297315,9.392482767,10.8576899,10.84761875,8.502665891,10.09600336,8.328744189,9.368587738,8.99716264
"40","GSM890165","control",9.428597548,8.682370449,9.526004969,7.708055517,6.991092149,8.452385169,8.583609015,10.07632963,9.257777416,8.762182727,8.61831666,7.91883875,7.80176114,8.353215214,8.137029382,8.439851666,8.293259062,8.697255221,9.098033707,8.660948889,7.417612005,8.893895133,6.684571699,9.360462183,6.779731341,7.739942064,9.073449199,9.550605159,8.070705398,8.424548073,5.978747968,7.229727722,7.670303275
"41","GSM890458","case",10.96344693,9.57324471,10.16041467,8.64666864,10.46211342,6.606373734,9.276137227,10.57796865,10.08362597,9.481406781,9.5019253,9.536779156,9.350627876,9.603282915,8.71949929,10.13228655,9.606306907,9.873994544,11.11833025,10.5343241,8.299749715,9.809576506,7.807946119,10.18882954,6.352628331,8.552387846,11.04644469,10.34184353,8.859734854,11.21860138,8.419604223,8.169369496,9.008486029
