experiment,undov,time
1a,under,451
1b,under,452
1c,under,451
2a,under,465
2b,under,462
2c,under,465
3a,under,488
3b,under,488
3c,under,486
4a,under,420
4b,under,412
4c,under,420
5a,under,492
5b,under,117
5c,under,116
6a,under,120
6b,under,118
6c,under,118
7a,under,108
7b,under,109
7c,under,108
8a,under,112
8b,under,113
8c,under,116
9a,under,120
9b,under,117
9c,under,118
1a,over,451
1b,over,452
1c,over,451
2a,over,465
2b,over,462
2c,over,465
3a,over,488
3b,over,488
3c,over,486
4a,over,420
4b,over,412
4c,over,420
5a,over,492
5b,over,117
5c,over,116
6a,over,120
6b,over,118
6c,over,118
7a,over,108
7b,over,109
7c,over,108
8a,over,112
8b,over,113
8c,over,116
9a,over,120
9b,over,117
9c,over,118
