lr_1,max_epochs_1,final_loss,max_loss,time_taken,epoch_final,final_select,experiment,undov
5e-04,500,10.94045639038086,3,10,500,1,1a,under
1e-04,500,10.956117630004885,3,11,500,0,1a,under
5e-04,500,10.944396018981934,3,10,500,1,1b,under
1e-04,500,10.956177711486816,3,10,500,0,1b,under
5e-04,500,10.944396018981934,3,10,500,1,1c,under
1e-04,500,10.956177711486816,3,10,500,0,1c,under
5e-04,500,10.984363555908203,3,11,500,1,2a,under
1e-04,500,11.028897285461426,3,10,500,0,2a,under
5e-04,500,10.976774215698242,3,10,500,1,2b,under
1e-04,500,11.028935432434082,3,10,500,0,2b,under
5e-04,500,10.976774215698242,3,10,500,1,2c,under
1e-04,500,11.028935432434082,3,10,500,0,2c,under
5e-04,500,10.796425819396973,3,10,500,1,3a,under
1e-04,500,10.804055213928224,3,10,500,0,3a,under
5e-04,500,10.796802520751951,3,10,500,1,3b,under
1e-04,500,10.804285049438477,3,10,500,0,3b,under
5e-04,500,10.796802520751951,3,10,500,1,3c,under
1e-04,500,10.804285049438477,3,10,500,0,3c,under
5e-04,500,10.872323036193848,3,9,500,1,4a,under
1e-04,500,10.882088661193848,3,9,500,0,4a,under
5e-04,500,10.872570037841797,3,9,500,1,4b,under
1e-04,500,10.88215446472168,3,9,500,0,4b,under
5e-04,500,10.872570037841797,3,9,500,1,4c,under
1e-04,500,10.88215446472168,3,10,500,0,4c,under
5e-04,500,10.653804779052734,3,11,500,1,5a,under
1e-04,500,10.683984756469728,3,11,500,0,5a,under
5e-04,500,11.74984645843506,3,3,500,1,5b,under
1e-04,500,11.775390625,3,2,500,0,5b,under
5e-04,500,11.74984645843506,3,2,500,1,5c,under
1e-04,500,11.775390625,3,2,500,0,5c,under
5e-04,500,11.654670715332031,3,2,500,1,6a,under
1e-04,500,11.662918090820312,3,2,500,0,6a,under
5e-04,500,11.65440273284912,3,2,500,1,6b,under
1e-04,500,11.662886619567873,3,2,500,0,6b,under
5e-04,500,11.65440273284912,3,2,500,1,6c,under
1e-04,500,11.662886619567873,3,2,500,0,6c,under
5e-04,500,11.521818161010742,3,2,500,1,7a,under
1e-04,500,11.535589218139648,3,2,500,0,7a,under
5e-04,500,11.521977424621582,3,2,500,1,7b,under
1e-04,500,11.53563404083252,3,2,500,0,7b,under
5e-04,500,11.521977424621582,3,2,500,1,7c,under
1e-04,500,11.53563404083252,3,2,500,0,7c,under
5e-04,500,11.624674797058104,3,2,500,1,8a,under
1e-04,500,11.641292572021484,3,2,500,0,8a,under
5e-04,500,11.615200996398926,3,2,500,1,8b,under
1e-04,500,11.64132595062256,3,2,500,0,8b,under
5e-04,500,11.615200996398926,3,2,500,1,8c,under
1e-04,500,11.64132595062256,3,2,500,0,8c,under
5e-04,500,11.467426300048828,3,2,500,1,9a,under
1e-04,500,11.484885215759276,3,2,500,0,9a,under
5e-04,500,11.467292785644531,3,2,500,1,9b,under
1e-04,500,11.484896659851074,3,2,500,0,9b,under
5e-04,500,11.467292785644531,3,2,500,1,9c,under
1e-04,500,11.484896659851074,3,2,500,0,9c,under
5e-04,500,10.503731727600098,3,11,500,1,1a,over
1e-04,500,10.53864860534668,3,11,500,0,1a,over
5e-04,500,10.503731727600098,3,11,500,1,1b,over
1e-04,500,10.53864860534668,3,11,500,0,1b,over
5e-04,500,10.503473281860352,3,11,500,1,1c,over
1e-04,500,10.538626670837402,3,11,500,0,1c,over
5e-04,500,10.406322479248049,3,12,500,0,2a,over
1e-04,500,10.403898239135742,3,12,500,1,2a,over
5e-04,500,10.406322479248049,3,12,500,0,2b,over
1e-04,500,10.403898239135742,3,12,500,1,2b,over
5e-04,500,10.406293869018556,3,12,500,0,2c,over
1e-04,500,10.40391445159912,3,12,500,1,2c,over
5e-04,500,10.601694107055664,3,13,500,1,3a,over
1e-04,500,10.62904930114746,3,13,500,0,3a,over
5e-04,500,10.601694107055664,3,13,500,1,3b,over
1e-04,500,10.62904930114746,3,13,500,0,3b,over
5e-04,500,10.601795196533203,3,13,500,1,3c,over
1e-04,500,10.629095077514648,3,14,500,0,3c,over
5e-04,500,10.433170318603516,3,10,500,1,4a,over
1e-04,500,10.45185089111328,3,10,500,0,4a,over
5e-04,500,10.433170318603516,3,10,500,1,4b,over
1e-04,500,10.45185089111328,3,10,500,0,4b,over
5e-04,500,10.43326187133789,3,10,500,1,4c,over
1e-04,500,10.451894760131836,3,10,500,0,4c,over
5e-04,500,10.611210823059082,3,12,500,0,5a,over
1e-04,500,10.60874080657959,3,12,500,1,5a,over
5e-04,500,10.70151424407959,3,3,500,1,5b,over
1e-04,500,10.734904289245604,3,3,500,0,5b,over
5e-04,500,10.702194213867188,3,3,500,1,5c,over
1e-04,500,10.734930992126465,3,3,500,0,5c,over
5e-04,500,10.62716007232666,3,3,500,1,6a,over
1e-04,500,10.67959213256836,3,3,500,0,6a,over
5e-04,500,10.62716007232666,3,3,500,1,6b,over
1e-04,500,10.67959213256836,3,3,500,0,6b,over
5e-04,500,10.627189636230469,3,3,500,1,6c,over
1e-04,500,10.679628372192385,3,3,500,0,6c,over
5e-04,500,10.724963188171388,3,2,500,1,7a,over
1e-04,500,10.758737564086914,3,2,500,0,7a,over
5e-04,500,10.724963188171388,3,2,500,1,7b,over
1e-04,500,10.758737564086914,3,2,500,0,7b,over
5e-04,500,10.72698974609375,3,2,500,1,7c,over
1e-04,500,10.758769035339355,3,2,500,0,7c,over
5e-04,500,10.796558380126951,3,3,500,1,8a,over
1e-04,500,10.835565567016602,3,2,500,0,8a,over
5e-04,500,10.796558380126951,3,2,500,1,8b,over
1e-04,500,10.835565567016602,3,2,500,0,8b,over
5e-04,500,10.7954740524292,3,3,500,1,8c,over
1e-04,500,10.835606575012209,3,3,500,0,8c,over
5e-04,500,10.65843677520752,3,3,500,1,9a,over
1e-04,500,10.702280044555664,3,3,500,0,9a,over
5e-04,500,10.65843677520752,3,3,500,1,9b,over
1e-04,500,10.702280044555664,3,3,500,0,9b,over
5e-04,500,10.658573150634766,3,3,500,1,9c,over
1e-04,500,10.702322959899902,3,3,500,0,9c,over
