lr_2,n_epochs_2,max_loss_2,min_loss_2,ind_null,instab,diff,time_taken,final_lr,experiment,undov
1e-05,5000,15,-15,275,1.482194595336914,-0.04575972470370182,117,1,1a,under
5e-05,5000,15,-15,275,1.4934443092346192,-0.03449432026256183,115,0,1a,under
1e-05,5000,15,-15,275,1.4866596794128415,-0.04553482575849976,116,1,1b,under
5e-05,5000,15,-15,275,1.4958462142944335,-0.033686643080278245,115,0,1b,under
1e-05,5000,15,-15,275,1.4866596794128415,-0.04553482575849976,116,1,1c,under
5e-05,5000,15,-15,275,1.4958462142944335,-0.033686643080278245,116,0,1c,under
1e-05,5000,15,-15,275,1.442842597961426,-0.03893724961714362,115,1,2a,under
5e-05,5000,15,-15,275,1.455523090362549,-0.020870229547673706,114,0,2a,under
1e-05,5000,15,-15,275,1.451124782562256,-0.03919261238791627,114,1,2b,under
5e-05,5000,15,-15,275,1.4653494834899905,-0.02114586743441471,114,0,2b,under
1e-05,5000,15,-15,275,1.451124782562256,-0.03919261238791627,115,1,2c,under
5e-05,5000,15,-15,275,1.4653494834899905,-0.02114586743441471,114,0,2c,under
1e-05,5000,15,-15,275,1.444413013458252,-0.0563421873612846,120,0,3a,under
5e-05,5000,15,-15,275,1.44416166305542,-0.05124899950894424,121,1,3a,under
1e-05,5000,15,-15,275,1.4436496543884276,-0.05646418311379087,121,0,3b,under
5e-05,5000,15,-15,275,1.442775421142578,-0.051450262936679536,123,1,3b,under
1e-05,5000,15,-15,275,1.4436496543884276,-0.05646418311379087,120,0,3c,under
5e-05,5000,15,-15,275,1.442775421142578,-0.051450262936679536,120,1,3c,under
1e-05,5000,15,-15,275,1.4695950508117677,-0.04907233151522483,108,1,4a,under
5e-05,5000,15,-15,275,1.4795517539978027,-0.0399358125166458,109,0,4a,under
1e-05,5000,15,-15,275,1.4693033027648923,-0.04936928315596134,107,1,4b,under
5e-05,5000,15,-15,275,1.4799098014831542,-0.03990073117342874,108,0,4b,under
1e-05,5000,15,-15,275,1.4693033027648923,-0.04936928315596134,110,1,4c,under
5e-05,5000,15,-15,275,1.4799098014831542,-0.03990073117342874,110,0,4c,under
1e-05,5000,15,-15,275,1.4768536758422852,-0.042410694469104726,135,1,5a,under
5e-05,5000,15,-15,275,1.482453384399414,-0.028311630595814208,131,0,5a,under
1e-05,5000,15,-15,275,1.5102356147766114,0.01154273986816534,31,1,5b,under
5e-05,5000,15,-15,275,1.5253072166442871,0.02783334732055565,31,0,5b,under
1e-05,5000,15,-15,275,1.5102356147766114,0.01154273986816534,29,1,5c,under
5e-05,5000,15,-15,275,1.5253072166442871,0.02783334732055565,30,0,5c,under
1e-05,5000,15,-15,275,1.517792911529541,-0.017463002638383074,30,1,6a,under
5e-05,5000,15,-15,275,1.5232737350463867,-0.010896960171786318,30,0,6a,under
1e-05,5000,15,-15,275,1.5159874153137207,-0.01732110283591659,29,1,6b,under
5e-05,5000,15,-15,275,1.522595272064209,-0.011156630082563623,30,0,6b,under
1e-05,5000,15,-15,275,1.5159874153137207,-0.01732110283591659,29,1,6c,under
5e-05,5000,15,-15,275,1.522595272064209,-0.011156630082563623,30,0,6c,under
1e-05,5000,15,-15,275,1.536973934173584,0.004195440465753819,28,1,7a,under
5e-05,5000,15,-15,275,1.5455049514770507,0.014557812430641803,28,0,7a,under
