experiment,classifier,n_control,class_imbalance,alpha1,alpha2,method,auc_mean,mean_accuracy,auc_sd,hyp,expGanMulti
sim,histgradboost,40,0.4,0,0,ExpandGAN,0.721411701135601,0.7057575757575758,0.054526313519673845,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=10)",0.25
sim,histgradboost,40,0.4,0,0,GAN,0.7151766442102938,0.6893217893217893,0.0406015673275942,HistGradientBoostingClassifier(min_samples_leaf=10),
sim,histgradboost,40,0.4,0,0,SMOTE,0.6275165372447512,0.6500000000000001,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)",
sim,histgradboost,40,0.4,0,0,RO,0.6275165372447512,0.6500000000000001,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)",
sim,histgradboost,40,0.4,0,0,ExpandGAN,0.7191310211694163,0.7095815295815295,0.05467411341188449,HistGradientBoostingClassifier(min_samples_leaf=10),0.5
sim,histgradboost,40,0.4,0,0,ExpandGAN,0.7013859837953884,0.7034632034632035,0.03820304744899233,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=25)",0.75
sim,histgradboost,40,0.4,0,0,ExpandGAN,0.6984952341941125,0.6866955266955267,0.06820207297608946,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=25)",1.0
sim,svm,40,0.4,0,0,ExpandGAN,0.500127097840644,0.3578643578643579,0.0008406327561738803,"SVC(C=5, gamma=0.1)",0.25
sim,svm,40,0.4,0,0,GAN,0.5000332270069112,0.3486147186147186,0.0003306045444931601,"SVC(C=1, gamma=0.1)",
sim,svm,40,0.4,0,0,SMOTE,0.8574022145527754,0.88,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,40,0.4,0,0,RO,0.8574022145527754,0.88,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,40,0.4,0,0,ExpandGAN,0.5001300029341444,0.36401154401154406,0.0005147001575940217,"SVC(C=5, gamma=0.1)",0.5
